Airline,Destination(s),Aircraft Scheduled,Service Date(s),Comments,Random_Column_1,Unused_2
Air Florida,"New York JFK, Tampa, Washington National","Boeing 737-200, DC-9-10","JFK: 6/14/79-9/5/79, DCA: 10/26/79-9/30/1982, TPA: 02/1980-9/30/1982",,sGPeiV,
AirTran Airways,"Atlanta, Dayton, Orlando","Boeing 737-200, DC-9-30, Boeing 717-200","11/14/1996-2/28/1998, 10/3/2000-4/29/2002",,6O98aEZ,
Air Wisconsin,"Akron-Canton, Chicago O'Hare, Cleveland, Columbus, Flint, Fort Wayne, Kalamazoo, Pittsburgh, South Bend","BAe 146, BAe ATP, Dash 8-300, Dash 7, Metro III",?-02/03/1993,Original and operating as United Express.,oKRrXOD0,
Allegiant Air*,Las Vegas,MD-80,12/15/2005-4/24/2006,,R0L3mF,
America West Express,"Columbus, Flint",Beech 1900,,Operated by Mesa dba Superior Airlines,XNQbYzb,
American Eagle Airlines*,Dallas/Fort Worth,ERJ-145,,Operated by Simmons Airlines (now American Eagle Airlines) and Chautauqua Airlines (dba AmericanConnection until name change to American Eagle),cx2kq,
Atlantic Coast Airlines,Cincinnati,Dornier 328JET,,dba Delta Connection,x2y5FDd,
Atlantic Southeast Airlines,"Atlanta, Cincinnati","ATR 72, CRJ-200, CRJ-700",,dba Delta Connection,qG3wk,
Beaver Aviation / BAS Airlines,"Beaver Falls (PA), Detroit City, Youngstown",Piper Navajo,Early 1980s,,PEIn8tu,
Capital Airlines,"Akron, Chicago, Cleveland, Detroit, Flint, Grand Rapids, Lansing, Muskegon, Pittsburgh, Philadelphia","Viscount, DC-3, DC-4",1/8/1948-05-31-1961,"* Merged with United. * At the time, 14 flights at startup was the most ever for a new city.",8mt6aU,
Chicago Express Airlines,"Chicago Midway, South Bend","Jetstream 31, Saab 340","1993-1995, 6/28/2002-1/4/2005",Original and returned as ATA Connection,popLn6Ja,
Chicago and Southern Airlines,"Deroit, Fort Wayne",,,Merged with Delta,fmcgxRli,
Comair,"Atlanta, Cincinnati, Columbus, Indianapolis","Piper Chieftain, Piper Navajo, EMB-110, Saab 340, EMB-120, Metro III, CRJ-100, CRJ-200, CRJ-700","1979, 01/03/1981-?",Original and as Delta Connection,POv31j,
Continental Express,Cleveland,"EMB-120, Beech 1900, Dash-8-200",,,uVh6Y7,
