Season,Series,Team,Races,Wins,Poles,F/Laps,Podiums,Points,Position,Extra_Data_1,Filler_2,Irrelevant_3
2007,Formula 3000 Italy,G-Tec,2,1,1,1,1,12,8th,988,BPQgq,IaAr1ah
2008,GP2 Series,Piquet Sports,20,1,2,3,6,60,5th,747,OjfPG,xdIkz
2008,International GT Open - GTS,Scuderia Latorre,2,0,0,0,1,8,22nd,930,VSKOirgZ,ybbgmu
2008,Euroseries 3000,GP Racing,1,1,0,1,1,11,12th,867,AdMATXvp,YR0F2il2
2008,International GT Open,Scuderia Latorre,?,?,?,?,?,18,32nd,580,PrOUI,NkbFy85w
2008–09,GP2 Asia Series,ART Grand Prix,5,0,0,0,1,7,15th,850,kiXywl,jrkCwBTd
2009,Euroseries 3000,Teamcraft Motorsport,2,1,0,0,1,10,10th,194,gmmOj,A7bMi6ky
2009,GP2 Series,ART Grand Prix,20,2,0,0,2,36,6th,337,xUeDLtL,KKkheD
2010,GP2 Series,Rapax Team,20,6,0,5,8,87,1st,639,HoHRZY,PrlrXfRp
2011,Formula One,AT&T Williams,19,0,0,0,0,1,18th,353,CXxnIw,XSsV1X
2012,Formula One,Williams F1 Team,20,1,1,0,1,45,15th,695,aLSDT,WxbGP
2013,Formula One,Williams F1 Team,19,0,0,0,0,1,18th,220,uszeugB,WMChVVoU
2014,Formula One,Lotus F1 Team,2,0,0,0,0,0*,NC*,210,aItHtN,3fTrq
