Season,Series,Team,Races,Wins,Poles,F/Laps,Podiums,Points,Position
2003,Formula Renault 2.0 Italy,Cram Competition,12,0,1,1,3,118,7th
2003,Formula Renault 2000 Masters season,Cram Competition,8,0,0,0,0,0,28th
2003,Formula Renault 2.0 Germany,Cram Competition,2,0,0,0,0,3,43rd
2003,Formula Renault 2.0 Italy Winter Cup,Cram Competition,?,?,?,?,?,?,1st
2004,Formula Renault 2.0 Italy,Cram Competition,17,8,6,11,12,326,1st
2004,Formula Renault 2000 Eurocup,Cram Competition,15,2,0,1,3,134,8th
2004,Formula Renault V6 Eurocup,Cram Competition,2,0,0,0,0,12,21st
2004,Formula One,Minardi,Test driver,Test driver,Test driver,Test driver,Test driver,Test driver,Test driver
2005,World Series by Renault,DAMS,8,0,0,0,0,4,25th
2005,Italian Formula 3000,Sighinolfi Auto Racing,4,1,1,1,1,14,9th
2006,World Series by Renault,Draco Racing,17,3,5,6,5,103,3rd
2007,GP2 Series,Trident Racing,13,1,1,0,2,25,11th
2007,Euroseries 3000,G-Tec,2,1,1,1,1,12,10th
