Type,Stage,Cyclist,Team,Reason
DNS,6,Jelle Vanendert,Silence-Lotto,
DNF,6,Jose Luis Arrieta,Ag2r-La Mondiale,
DNF,6,Sébastien Chavanel,Française des Jeux,
DNF,6,Simon Spilak,Lampre-NGC,
DNF,6,Thomas Voeckler,Bbox Bouygues Telecom,Shoulder injury sustained from crash
DNS,7,Sebastian Langeveld,Rabobank,
DNF,7,Samuel Sánchez,Euskaltel-Euskadi,
DNF,7,Mickael Cherel,Française des Jeux,
DNF,7,Thomas Fothen,Team Milram,
DNF,7,Marcel Sieberg,Team Columbia-High Road,
DNF,7,Tom Veelers,Skil-Shimano,
DNF,7,Mickael Buffaz,Cofidis,
DNF,7,Javier Aramendia,Euskaltel-Euskadi,
DNF,7,Romain Feillu,Agritubel,
