Type,Stage,Cyclist,Team,Reason,Unused_1
DNF,2,Rémi Pauriol,Cofidis,Broken collarbone,
DNS,3,José Ángel Gómez Marchante,Cervélo TestTeam,Broken arm sustained from crash in Stage 2,
DNS,3,Daniel Martin,Garmin-Slipstream,Illness,
DNS,3,Joost Posthuma,Rabobank,Illness,
DNF,3,Matteo Bono,Lampre-NGC,,
DNF,3,Anthony Charteau,Caisse d'Epargne,,
DNS,4,Sylvain Calzati,Agritubel,,
DNS,4,Bradley Wiggins,Garmin-Slipstream,Death in the family,
DNF,4,Jussi Veikkanen,Française des Jeux,,
DNS,5,Íñigo Cuesta,Cervélo TestTeam,,
DNS,5,Enrico Franzoi,Liquigas,,
DNF,5,Steven Cozza,Garmin-Slipstream,,
DNF,5,Philippe Gilbert,Silence-Lotto,,
DNF,5,Brian Vandborg,Liquigas,,
