Year,Starts,Wins,Top 5,Top 10,Poles,Avg. Start,Avg. Finish,Winnings,Position,Team(s),Unused_1
1986,2,0,0,0,0,21.0,29.0,$535,110th,#31 Grissom Racing Enterprises,
1987,2,0,0,0,0,17.0,21.5,$975,49th,#39 Grissom Racing Enterprises,
1988,29,0,1,4,0,23.6,20.4,"$45,391",13th,#39 Grissom Racing Enterprises,
1989,29,0,2,5,0,23.1,18.9,"$71,822",12th,#9/#19 Falcon Racing,
1990,31,4,11,15,1,14.8,13.2,"$166,842",3rd,#31 Grissom Racing Enterprises,
1991,31,1,7,13,1,20.5,15.7,"$152,206",10th,#31 Grissom Racing Enterprises,
1992,31,1,2,7,1,19.7,16.7,"$170,716",12th,#31 Grissom Racing Enterprises,
1993,28,2,11,18,0,21.5,10.3,"$336,432",1st,#31 Grissom Racing Enterprises,
1994,11,0,1,1,0,27.5,26.6,"$39,475",43rd,#31 Grissom Racing Enterprises,
1995,15,2,4,7,0,23.9,15.6,"$110,105",26th,#29 Diamond Ridge Motorsports,
1996,8,1,3,4,0,25.9,14.1,"$90,942",45th,#29 Diamond Ridge Motorsports,
1997,1,0,0,0,0,43.0,39.0,"$4,425",114th,#5 Labonte Motorsports,
