Year,Starts,Wins,Top 5,Top 10,Poles,Avg. Start,Avg. Finish,Winnings,Position,Team(s)
1998,2,0,0,0,1,22.0,23.0,"$16,444",77th,#12 Spencer Motor Ventures#59 ST Motorsports
1999,12,0,0,0,0,35.5,30.6,"$128,750",52nd,#74 BACE Motorsports#12 Spencer Motor Ventures#22 AllCar Motorsports#44 Labonte Motorsports#63 HVP Motorsports#11 Jarrett/Favre Motorsports
2000,1,0,0,0,0,43.0,37.0,"$7,925",109th,#8 Petty Enterprises
2001,1,0,0,0,0,21.0,26.0,"$27,000",151st,#45 Petty Enterprises
2002,7,0,0,0,0,30.6,30.4,"$86,830",56th,#34 Frank Cicci Racing
2003,6,0,0,0,0,37.0,27.8,"$83,825",67th,#07 DLP Racing#61/#36 DCT Motorsports
2004,26,0,0,0,0,37.3,28.6,"$482,604",28th,#36 DCT Motorsports#24/#93 GIC-Mixon Motorsports
2005,31,0,0,0,0,40.3,32.2,"$602,395",23rd,#49 Jay Robinson Racing
2006,2,0,0,0,0,42.0,30.5,"$72,136",98th,#49 Jay Robinson Racing
2007,1,0,0,0,0,43.0,25.0,"$45,800",133rd,#34 Frank Cicci Racing
2008,1,0,0,0,0,43.0,43.0,"$42,651",148th,#90 MSRP Motorsports
2009,1,0,0,0,0,43.0,43.0,"$20,927",149th,#0 JD Motorsports
