Name,Lifetime,Nationality,Notable as,Notes
Alan Duncan,b. 1957,English,Member of Parliament,G
Isadora Duncan,1887–1927,American,Dancer,B
Ian Campbell Dunn,1943–1998,Scottish,LGBT rights activist,G
Kristyn Dunnion,b. 1969,Canadian,"writer, performance artist",L
Don Dunstan,1926–1999,Australian,Politician,G
Cheryl Dunye,b. 1966,American,Film director,L
Imke Duplitzer,b. 1975,German,Olympic fencer,L
Alonso Duralde,b. 1967,American,Film critic,G
John Duran,b. ?,American,Mayor of West Hollywood,G
Eric Durchholz,b. 1972,American,Author,G
Eleonora Duse,1859–1924,Italian,Actor,B
Guillaume Dustan,1965–2005,French,Writer,G
Andrea Dworkin,1946–2005,American,"Feminist, LGBT rights activist",L
Deborah Dyer,b. 1967,English,Rock musician,B
Elana Dykewomon,b. 1949,American,"Activist, writer",L
