Name,Lifetime,Nationality,Notable as,Notes
Mark Doty,b. 1953,American,Poet,G
Lord Alfred Douglas,1870–1945,English,"Poet, lover of Oscar Wilde",B
Kyan Douglas,b. 1970,American,Reality show host,G
Michelle Douglas,b. 1963,Canadian,"Former soldier, LGBT rights activist",L
Orville Lloyd Douglas,b. 1976,Canadian,Writer,G
"Edward Douglas-Scott-Montagu, 3rd Baron Montagu of Beaulieu",b. 1927,English,Politician,B
Gregory Douglass,b. 1980,American,Musician,G
Robert Dover,b. 1956,American,Equestrian,G
Brian Dowling,b. 1978,Irish,Television presenter,G
JD Doyle,b. 1947,American,"Radio producer, Queer Music Collector",G
David Drake,b. 1963,American,Actor,G
Karla Drenner,b. 1961,American,"Politician, academic",L
Donna Dresch,b. ?,American,Rock musician,L
James Dreyfus,b. 1968,English,Actor,G
"Tom Driberg, Baron Bradwell",1905–1976,English,"Politician, journalist",G
