Name,Lifetime,Nationality,Notable as,Notes,Unused_1,Unused_2,Filler_3
Nancy Drolet,b. 1973,Canadian,Ice hockey player,L,,,AtqLMa
Ed Droste,b. 1978,American,Musician,G,,,RqlBo
Drubskin,b. ?,American,Artist,G,,,JuYrdS
Malka Drucker,b. 1945,American,"Rabbi, writer",L,,,lraHPTB
Thomas Duane,b. 1955,American,Politician,G,,,ODeGZ
Martin Duberman,b. 1932,American,Historian,G,,,LMcAZe
René-Daniel Dubois,b. 1955,Canadian,Writer,G,,,LUNYJlgo
Sandi Simcha DuBowski,b. 1970,American,Filmmaker,G,,,AhsYER
Carol Ann Duffy,b. 1955,Scottish,Poet,L,,,mjzMBqY
Maureen Duffy,b. 1933,English,Writer,L,,,nTQLbFxK
Bevan Dufty,b. 1955,American,Politician,G,,,pvoYuAew
Bonnie Dumanis,b. 1951,American,District Attorney,L,,,akFwCPz
Daphne du Maurier,1907–1989,English,Author,B,,,MDfyEfPB
Karen Dunbar,b. 1971,Scottish,Comedienne,L,,,qinUtvZb
Alice Dunbar-Nelson,1875–1935,American,"Poet, journalist, political activist",B,,,maSZG
