Name,Lifetime,Nationality,Notable as,Notes,Dummy_Col_1
"Robert De Niro, Sr.",1922–1993,American,Painter,B,cbaHf
Barry Dennen,b. 1938,American,"Actor, writer",G,ZteNRi
Robert Denning,1927–2005,American,Interior designer,G,wcmOBQh
Denice Denton,1959–2006,American,Academic,L,SjDAns
Nick Denton,b. 1967,English,"Journalist, blogger",G,zbocSvQb
Paul-Émile d'Entremont,B. ?,Canadian,Documentary filmmaker,G,PdfncP
Dena DeRose,b. 1966,American,Jazz musician,L,PsEjNG
Portia de Rossi,b. 1973,Australian,"Actress, wife of Ellen DeGeneres",L,iRFVEo
Felipa de Souza,1556–1600,Brazilian,,L,pbtVc
Tony De Vit,1957–1998,English,Disk jockey,G,fbMID
Abby DeWald,b. ?,American,Musician,L,WcjmD
Elsie de Wolfe,1865–1950,American,Interior designer,B,kiQNqL
Sergei Diaghilev,1872–1929,Russian,"Art critic, ballet patron",G,lUGGE
David Diamond,1915–2005,American,Composer,G,Vxqdx
Guillermo Díaz,b. 1975,American,Actor,G,CguDyKJ
