Name,Lifetime,Nationality,Notable as,Notes
"Jeanine Deckers, a.k.a. \The Singing Nun\""""",1933–1985,Belgian,"Musician, clergy",L
Edgar de Evia,1910–2003,American,"Photographer, author",G
Ellen DeGeneres,b. 1958,American,"Comedian, actor, talk show host",L
Robin De Groot,b. ?,Canadian,"Designer, TV personality",G
Jacek Dehnel,b. 1980,Polish,"Writer, translator",G
Andreas Deja,b. 1957,German,Animator,G
Bertrand Delanoë,b. 1950,French,Politician,G
Samuel R. Delany,b. 1942,American,Author,G
Lea DeLaria,b. 1958,American,"Comedian, actor, jazz musician",L
Mazo de la Roche,1879–1961,Canadian,Writer,G
Casey Dellacqua,b. 1985,Australian,Tennis player,L
David Del Tredici,b. 1937,American,Contemporary classical composer,G
Guilherme de Melo,b. 1931,Portuguese,"Journalist, novelist, activist",G
Barbara Deming,1917–1984,American,Activist,L
Rosemary Dempsey,b. ?,American,"Lawyer, activist",L
Shawna Dempsey,b. ?,Canadian,"Performance artists, writers",L
