Name,Lifetime,Nationality,Notable as,Notes
Alain Daniélou,1907–1994,French,"Academic, Hindu convert",G
Ben Daniels,b. 1964,English,Actor,G
Dani Daniels,b. 1989,American,Porn star,B
David Daniels,b. 1966,American,Singer,G
Lee Daniels,b. 1959,American,"Film producer, director",G
Sarah Daniels,b. 1957,English,Playwright,L
Jason Danino-Holt,b. 1987,Israeli,Television personality,G
Martin Dannecker,b. 1942,German,"Sexologist, writer",G
Brian Dannelly,b. ?,American,Film director,G
Van Darkholme,b. 197?,Vietnamese-American,Gay pornographic director and actor,G
Ram Dass,b. 1931,American,"Spiritual teacher, writer",B
Charlie David,b. 1980,Canadian,Actor,G
Dave Davies,b. 1947,English,Musician,B
Libby Davies,b. 1953,Canadian,Member of Parliament,L
Peter Maxwell Davies,b. 1934,English,Contemporary classical composer and conductor,G
Ron Davies,b. 1946,Welsh,Politician,B
