Name,Lifetime,Nationality,Notable as,Notes
Jess Dobkin,b. 1970,Canadian,Performance artist,L
Jody Dobrowski,1981–2005,English,Murder victim,G
Farzana Doctor,b. ?,Canadian,Writer,L
Betty Dodson,b. 1929,American,Sex educator,B
Owen Dodson,1914–1983,American,"Poet, novelist, playwright",G
Terry Dolan,1950–1986,American,Republican Party operative,G
Domenico Dolce,b. 1958,Italian,"Fashion designer, Dolce & Gabbana",G
Ann Donahue,b. ?,American,Television writer,L
Stephen Donaldson,1946–1996,American,Activist,G
Dong Xian,c. 23- 1 BC,Chinese (Han Dynasty),Courtier,B
Emma Donoghue,b. 1969,Irish,Writer,L
Amanda Donohoe,b. 1962,English,Actor,B
Savannah Dooley,b. 1985,American,Screenwriter,L
Thomas Anthony Dooley,1927–1961,American,Humanitarian,G
Heinz Dormer,b. 1912,German,"Youth leader, imprisoned by Nazis",G
