Name,Lifetime,Nationality,Notable as,Notes,Irrelevant_1
Andy Dick,b. 1965,American,"Actor, comedian",B,45vFmYv3
Marlene Dietrich,1901–1992,German,Actor,B,9UNIyL
Vincent Dieutre,b. 1960,French,Film director,G,y1cE2fX
Ani DiFranco,b. 1970,American,Rock musician,B,CgiLDU
Giovanni di Giovanni,1350–1365,Italian,Hate crime victim,G,YvRgtHe
Kristian Digby,1977–2010,British,Television presenter and director,G,ZopQ3Av
Christian Dior,1905–1957,French,Fashion designer,G,WfTLP
Dirk Dirksen,1937–2006,American,Music promoter,G,9f28zVI
Elio Di Rupo,b. 1951,Belgian,Politician,G,nMBytje
JD Disalvatore,b. ?,American,"Film director, producer",G,0pqoUS7
Thomas M. Disch,b. 1940,American,Writer,G,C81YjK
Beth Ditto,b. 1981,American,Rock musician,L,TF0km
Boris Dittrich,b. 1955,Dutch,"Politician, LGBT rights activist",G,qi3O2mU
Divine,1945–1988,American,"Actor, drag performer",G,X6ZwPzRe
Alix Dobkin,b. 1940,American,Women's music performer-composer,L,O7DoM
