Rank,Athlete,Country,Time,Notes
16,Norio Hirate,Japan,40.85,
16,Archie Marshall,Great Britain,40.85,
18,Mikio Oyama,Japan,40.90,
19,Hans van Helden,Netherlands,40.91,
19,Emmanuel Michon,France,40.91,
21,Kay Arne Stenshjemmet,Norway,40.94,
22,Lee Yeong-Ha,South Korea,41.08,
23,Bruno Toniolli,Italy,41.44,
24,Harald Oehme,East Germany,41.54,
25,Colin Coates,Australia,41.77,
26,Berend Schabus,Austria,42.33,
27,Heinz Steinberger,Austria,43.28,
28,Jan Egil Storholt,Norway,18.00,
-,Horst Freese,West Germany,DNF,
