Rank,Athlete,Country,Time,Notes,Filler_1
,Yevgeny Kulikov,Soviet Union,39.17,OR,PLUCQ
,Valery Muratov,Soviet Union,39.25,,zmWIHQf
,Dan Immerfall,United States,39.54,,QdzyyZmo
4,Mats Wallberg,Sweden,39.56,,SIsJH
5,Peter Mueller,United States,39.57,,zbmoY
6,Jan Bazen,Netherlands,39.78,,liEGkR
6,Arnulf Sunde,Norway,39.78,,sbkhSY
8,Andrey Malikov,Soviet Union,39.85,,xDmLy
9,Oloph Granath,Sweden,39.93,,MkgcVleP
10,Jim Chapin,United States,40.09,,QtHLtRry
11,Tom Overend,Canada,40.22,,FxHYc
11,Masaki Suzuki,Japan,40.22,,ZAOpPoa
13,Johan Granath,Sweden,40.25,,yjeLyQ
14,Gaétan Boucher,Canada,40.53,,xFDDqraO
15,Pertti Niittylä,Finland,40.65,,JqBicCht
