"Battle, Siege, or Offensive",Conflict,Dates,Estimated number of Americans killed
Battle of Spotsylvania,American Civil War,"May 8 to May 21, 1864","4,192 killed (2,725 Union and 1,467 Confederacy)"
Battle of Chickamauga,American Civil War,"September 19 to September 20, 1863","3,969 killed (1,657 Union and 2,312 Confederacy)"
Battle of the Wilderness,American Civil War,"May 5 to May 7, 1864","3,741 killed (2,246 Union and 1,495 Confederacy)"
Battle of Antietam,American Civil War,"September 17, 1862","3,654 killed (2,108 Union and 1,546 Confederacy)"
Battle of Shiloh,American Civil War,"April 6 to April 7, 1862","3,482 killed (1,754 Union and 1,728 Confederacy)"
Battle of Chancellorsville,American Civil War,"April 30 to May 6, 1863","3,271 killed (1,606 Union and 1,665 Confederacy)"
Battle of Saipan,World War II,June 15 to July 9 1944,"2,949 killed"
Battle of Sicily,World War II,"July 9 to August 17, 1943","2,572 killed"
Pearl Harbor Attack,World War II,"December 7, 1941","2,500 killed"
Battle of Salerno,World War II,"September 3 – September 16, 1943","2,000 killed"
