"Battle, Siege, or Offensive",Conflict,Dates,Estimated number of Americans killed,Dummy_Col_1,Noise_Field_2
Meuse-Argonne Offensive,World War I,"September 26 to November 11, 1918","26,277 killed",kTzsjPZ,zPpxfm
Battle of the Bulge,World War II,"December 16, 1944 to January 25, 1945","19,276 killed",ccBVm,TxIrb
Battle of Normandy,World War II,"June 6 to July 24, 1944","16,293 killed",LzXKIKg,axUDi
Battle of Okinawa,World War II,"April 1 to June 21, 1945","12,513 killed",XJNCDEai,cpvhNmv
Battle of Hürtgen Forest,World War II,"September 19, 1944 to February 10, 1945","Over 12,000 killed",RSwAvk,FnJLKKV
Battle of Gettysburg,American Civil War,"July 1 to July 3, 1863","7,863 killed (3,155 Union and 4,708 Confederacy)",UnAbV,YvIShnK
Battle of Guadalcanal,World War II,"August 7, 1942 to February 9, 1943","7,100 killed",rKRbkviS,KAAzc
Battle of Iwo Jima,World War II,"February 16 to March 26, 1945","7,000 killed",MKAuq,LiIPO
Battle of Anzio,World War II,"January 22 to June 5, 1944","5,538 killed",aKVxCloy,QDVhStCO
Battle of Pusan Perimeter,Korean War,"August to September, 1950","4,599 killed",iYzQlRT,bJRqAD
