"Battle, Siege, or Offensive",Conflict,Dates,Estimated number of Americans killed,Filler_1,Unused_2
Battle of Belleau Wood,World War I,"June 1 to June 26, 1918","1,811 killed",JxzTdv,
Battle of Peleliu,World War II,"September 15 to November 27, 1944","1,794 killed",tMYhX,
Second Battle of Guam,World War II,"July 21 to August 8, 1944","1,747 killed,",zMhsOsfg,
Battle of Tarawa,World War II,"November 20 to November 23, 1943","1,677 killed",mCWBFZ,
D-day (first day of Operation Overlord),World War II,"June 6, 1944","1,465 killed",kjShgQS,
Battle of Chosin Reservoir,Korean War,"November 27 to December 13, 1950","1,029 killed",sAVYF,
Battle for Manila,World War II,"February 3 to March 3, 1945","1,010 killed",MKAVM,
Battle of the Kasserine Pass,World War II,"February 19 to February 25, 1943","Over 1,000 killed",ramJwRex,
Battle of Taejon,Korean War,"July 14 to July 21, 1950",922 killed,lqZPcIis,
Battle of Khe Sanh,Vietnam War,21 January to 8 April 1968,737 killed,LgyicvA,
