Release Date,Album,Catalog Number,Chart Position,Notes
"February 28, 1990",Pulse,TYDY-5127,92,Single
"March 5, 1991",Niji-iro no Sneaker,KIDA-15,43,Single
"March 21, 1991",Half and half,KICS-100,45,Album
1992,Naraou (Kaze wo Miru / TOKYO MURASAKI),SSX 35,-,Promotional Mini-Album - Tenkuu Senki Shurato OVA Image Songs
"March 5, 1992",Whatever,KICS-176,18,Album
"June 24, 1992",Yume wo dakishimete,KIDA-42,90,Single - Magical Princess Minky Momo Theme
"August 5, 1992",Haruneko fushigi tsukiyo -oshiete Happiness-,KIDA-45,49,Single - All Purpose Cultural Cat Girl Nuku Nuku Ending
"August 5, 1992",Perfume,KICS-215,13,Album
"March 24, 1993",Our Goody Day...Bokura no Good Day,KIDA-54,54,Single
"August 23, 1993",SHAMROCK,KICS-345,12,Album
