Release Date,Album,Catalog Number,Chart Position,Notes
"July 5, 1996",Just be conscious,KIDA-b36,11,Single - Slayers Return Theme
"October 23, 1996",Successful Mission,KIDA-138,7,Single - Contains themes for Saber Marionette J
"November 1, 1996",bertemu,KICS-590,3,Album
"April 23, 1997",Don't Be Discouraged,KIDA-148,4,Single - Slayers Try Ending
"August 6, 1997",Iráváti,KICS-640,5,Album
"July 2, 1997",Reflection,KIDA-154,7,Single - Slayers Great Theme
"February 4, 1998",Fine Colorday,KIDA-158,9,Single - Contains themes for the show All Purpose Cultural Cat Girl Nuku Nuku
"April 24, 1998",~infinity~,KIDA-161,8,Single Lost Universe Theme
"July 3, 1998",Raging Waves,KIDA-163,8,Single - Slayers Gorgeous Theme
"September 4, 1998",A House Cat,KIDA-165,6,Single - Contains themes to the show All Purpose Cultural Cat Girl Nuku Nuku
