County,Obama,Votes,Romney,Votes,Others,Votes,Total
Harding,43.26%,260,54.41%,327,2.33%,14,601
Hidalgo,51.42%,995,46.46%,899,2.12%,41,"1,935"
Lea,23.98%,"4,080",73.75%,"12,548",2.27%,387,"17,015"
Lincoln,31.82%,"2,940",64.51%,"5,961",3.67%,339,"9,240"
Los Alamos,48.72%,"5,191",45.02%,"4,796",6.26%,667,"10,654"
Luna,47.77%,"3,583",48.93%,"3,670",3.29%,247,"7,500"
McKinley,72.08%,"15,363",25.43%,"5,420",2.49%,530,"21,313"
Mora,74.85%,"1,952",22.81%,595,2.34%,61,"2,608"
Otero,34.15%,"6,811",62.23%,"12,412",3.62%,723,"19,946"
Quay,37.32%,"1,384",59.39%,"2,202",3.29%,122,"3,708"
Rio Arriba,74.74%,"11,389",22.13%,"3,373",3.13%,477,"15,239"
