County,Obama,Votes,Romney,Votes,Others,Votes,Total
Bernalillo,55.55%,"147,183",39.35%,"104,242",5.10%,"13,517","264,942"
Catron,26.38%,560,70.37%,"1,494",3.25%,69,"2,123"
Chaves,32.28%,"6,641",64.77%,"13,327",2.95%,607,"20,575"
Cibola,60.18%,"4,907",36.37%,"2,966",3.45%,281,"8,154"
Colfax,49.05%,"2,828",46.83%,"2,700",4.11%,237,"5,765"
Curry,29.51%,"4,019",67.91%,"9,250",2.58%,352,"13,621"
DeBaca,31.82%,287,64.97%,586,3.22%,29,902
Doña Ana,55.97%,"36,778",41.07%,"26,988",2.96%,"1,946","65,712"
Eddy,31.83%,"6,110",65.36%,"12,546",2.81%,539,"19,195"
Grant,55.00%,"7,009",41.48%,"5,286",3.52%,449,"12,744"
Guadalupe,69.68%,"1,478",26.12%,554,4.20%,89,"2,121"
