Pick #,NFL Team,Player,Position,College,Filler_1,Dummy_Col_2
197,Houston Oilers,Larry Harris,Defensive tackle,Oklahoma State,Zvpcgp,MDFrJ
198,Detroit Lions,Garth Ten Napel,Linebacker,Texas A&M,dLPqhmYK,qGSozC
199,New York Jets,James Richards,Running back,Florida,VvTNDk,TYAnwrC
200,Miami Dolphins,John Owens,Defensive end,Tennessee State,TZros,gwxpBz
201,New Orleans Saints,Ed Bauer,Guard,Notre Dame,yFtQLEnq,zcPrKN
202,New England Patriots,Perry Brooks,Defensive tackle,Southern,ywEbL,LtLgMqz
203,St. Louis Cardinals,Phil Rogers,Running back,Virginia Tech,bZKXw,CfqjNDb
204,Oakland Raiders,Clarence Chapman,Wide Receiver,Eastern Michigan,jkxDpk,grdwmL
205,Cincinnati Bengals,Ken Kuhn,Linebacker,Ohio State,JbHYVVg,Lhnpd
206,Minnesota Vikings,Larry Brune,Defensive back,Rice,xlQowRE,pcMxPYm
207,Los Angeles Rams,Larry Buie,Defensive back,Mississippi State,ceDVkK,Qqzcf
208,Dallas Cowboys,David Williams,Running back,Colorado,SVOlP,GzSVYmqd
209,Pittsburgh Steelers,Barry Burton,Tight end,Vanderbilt,cTwKLR,HcFZSq
