Pick #,NFL Team,Player,Position,College
183,Tampa Bay Buccaneers,Parnell Dickinson,Quarterback,Mississippi Valley State
184,Seattle Seahawks,Dick Dixon,Defensive tackle,Arkansas State
185,Miami Dolphins,Joe Ingersoll,Guard,UNLV
186,Dallas Cowboys,Greg Schaum,Defensive Tackle,Michigan State
187,Cincinnati Bengals,Bob Bateman,Quarterback,Brown
188,New York Jets,Abdul Salaam,Defensive end,Kent State
189,Cleveland Browns,Steve Cassidy,Defensive tackle,Louisiana State
190,Chicago Bears,Jerry Muckensturm,Linebacker,Arkansas State
191,Philadelphia Eagles,Carl Hairston,Defensive end,Maryland-Eastern Shore
192,Cincinnati Bengals,Carmen Rome,Defensive back,Miami (OH)
193,Atlanta Falcons,Karl Farmer,Wide receiver,Pittsburgh
194,San Francisco 49ers,Jay Chesley,Defensive back,Vanderbilt
195,Buffalo Bills,Jackie Williams,Defensive back,Texas A&M
196,Kansas City Chiefs,Rod Wellington,Running back,Iowa
