No.,Race Title,Track,Date,TV,Dummy_Col_1,Noise_Field_2,Noise_Field_3
1,NextEra Energy Resources 250,"Daytona International Speedway, Daytona Beach",February 21,FS1,gwOqtKt,BUDHE,RChfm
2,Kroger 250,"Martinsville Speedway, Martinsville",March 30†,FS1,NIMGcZg,oJOPHkl,DiYjMDlg
3,SFP 250,"Kansas Speedway, Kansas City",May 9,FS1,JKxMEwAW,ZTyMkCX,HqzhDY
4,North Carolina Education Lottery 200,"Charlotte Motor Speedway, Concord",May 16,FS1,bDkjtf,oePaLYzF,sDaxqVg
5,Lucas Oil 200,"Dover International Speedway, Dover",May 30,FS1,CCwyJe,EhSzR,ROgRkm
6,WinStar World Casino 400K,"Texas Motor Speedway, Fort Worth",June 6,FS1,sCLCJkZG,qlkOzqy,YVgZKR
7,Gateway 200,"Gateway Motorsports Park, Madison, Illinois",June 14,FS1,JLpTJ,BBCHeEa,xMPROnE
8,UNOH 225,"Kentucky Speedway, Sparta",June 26,FS1,SxczRPO,KhdTRP,HFUBCMhb
9,American Ethanol 200,"Iowa Speedway, Newton",July 12,FS1,awTDAcVh,DIuFkX,VrIMRsaG
10,Mudsummer Classic,"Eldora Speedway, New Weston",July 23,FS1,ZrfkUkE,qtJSuT,JIDjw
11,Pocono Mountains 150,"Pocono Raceway, Long Pond",August 2,FS1,tGEYCl,IEVDOds,wmeUcSF
