Name,Assumed Office,Left Office,President Appointed By,Secretary Served Under,Filler_1
"Theodore Roosevelt, Jr.","March 10, 1921","September 30, 1924",Warren Harding,Edwin Denby,Gtkywsr
Theodore Douglas Robinson,"November 11, 1924","March 4, 1929",Calvin Coolidge,Curtis Dwight Wilbur,uUAAO
Ernest L. Jahncke,"April 1, 1929","March 17, 1933",Herbert Hoover,Charles Francis Adams III,yEbCdDY
Henry L. Roosevelt,"March 17, 1933","February 22, 1936",Franklin D. Roosevelt,Claude Augustus Swanson,CtkdpjyY
Charles Edison,"January 18, 1937","January 1, 1940",Franklin D. Roosevelt,Claude Augustus Swanson,xvkRHcVn
Lewis Compton,"February 9, 1940","January 10, 1941",Franklin D. Roosevelt,Charles Edison,gLYoi
Ralph Austin Bard,"February 24, 1941","June 24, 1944",Franklin D. Roosevelt,William Franklin Knox,JimFv
H. Struve Hensel,"January 30, 1945","February 28, 1946",Franklin D. Roosevelt,James Vincent Forrestal,BijiCCj
W. John Kenney,"March 1, 1946","September 19, 1947",Harry S. Truman,James Vincent Forrestal,IuPgbcr
Mark E. Andrews,"January 21, 1948","February 15, 1949",Harry S. Truman,John L. Sullivan,xXUxE
John T. Koehler,"February 18, 1949","October 3, 1951",Harry S. Truman,Francis P. Matthews,CUcKQ
Herbert R. Askins,"October 3, 1951","January 20, 1953",Dwight D. Eisenhower,Dan A. Kimball,XjjAd
Raymond H. Fogler,"June 22, 1953","October 4, 1954",Dwight D. Eisenhower,"Robert B. Anderson, Charles S. Thomas",NQGAnPL
