Name,Assumed Office,Left Office,President Appointed By,Secretary Served Under
Gustavus Fox,"August 1, 1861","November 26, 1866",Abraham Lincoln,Gideon Welles
William Faxon,"June 1, 1866","March 3, 1889",Andrew Johnson,"Gideon Welles, Adolph Edward Borie, George Maxwell Robeson, Richard Wigginton Thompson, Nathan Goff, Jr., William Henry Hunt, William Eaton Chandler, William Collins Whitney"
James R. Soley,"July 18, 1890","March 19, 1893",Benjamin Harrison,Benjamin Franklin Tracy
William McAdoo,"March 20, 1893","April 18, 1897",Grover Cleveland,Hilary Abner Herbert
Theodore Roosevelt,"April 19, 1897","May 10, 1898",William McKinley,John Davis Long
Charles Herbert Allen,"May 11, 1898","April 21, 1900",William McKinley,John Davis Long
Frank W. Hackett,"April 24, 1900","December 16, 1901",William McKinley,John Davis Long
Charles Hial Darling,"December 17, 1901","October 30, 1905",Theodore Roosevelt,"John Davis Long, William Henry Moody, Paul Morton, Charles Joseph Bonaparte"
Truman Handy Newberry,"November 1, 1905","November 30, 1908",Theodore Roosevelt,"Charles Joseph Bonaparte, Victor Howard Metcalf"
Herbert L. Satterlee,"December 3, 1908","March 5, 1909",Theodore Roosevelt,Truman Handy Newberry
Beekman Winthrop,"March 6, 1909","March 16, 1913",William Howard Taft,George von Lengerke Meyer
Franklin D. Roosevelt,"March 17, 1913","August 26, 1920",Woodrow Wilson,Josephus Daniels
Gordon Woodbury,"August 27, 1920","March 9, 1921",Woodrow Wilson,Josephus Daniels
