Pick #,Player,Position,Nationality,NHL team,College/junior/club team
133,Steve Orth,Centre,United States,New York Rangers,St. Cloud State University (WCHA)
134,Christian Ruuttu,Centre,Finland,Buffalo Sabres,Pori (Finland)
135,Dwaine Hutton,Centre,Canada,Washington Capitals,Kelowna Wings (WHL)
136,Sean Toomey,Left Wing,United States,Minnesota North Stars,Cretin-Derham Hall High School (USHS-MN)
137,Jim Sprenger,Defence,United States,New York Islanders,Cloquet High School (USHS-MN)
138,Vladislav Tretiak,Goaltender,Soviet Union,Montreal Canadiens,Moscow CSKA (USSR)
139,Scott Birnie,Rignt wing,Canada,Chicago Black Hawks,Cornwall Royals (OHL)
140,Dale Derkatch,Centre,Canada,Edmonton Oilers,Regina Pats (WHL)
141,Bob Mormina,Right Wing,Canada,Philadelphia Flyers,Longueuil Chevaliers (QMJHL)
142,Ian Armstrong,Defence,Canada,Boston Bruins,Peterborough Petes (OHL)
