M,Date,Tournament,Round,Ground,Opponent,Score,Attendance,Dinamo Scorers,Report
32,02 Dec,UEL,Group,A,Villarreal,0 – 3,,,Sportnet.hr
33,05 Dec,1. HNL,18,H,Varaždin,1 – 1,"1,000",Morales,Sportnet.hr
34,09 Dec,Cup,QF,A,Osijek,3 – 1,300,"Bećiraj (2), Bišćan",Sportnet.hr
35,15 Dec,UEL,Group,H,PAOK,0 – 1,"25,000",,Sportnet.hr
36,26 Feb,1. HNL,19,A,Karlovac,1 – 0,"1,000",Šitum,Sportnet.hr
37,05 Mar,1. HNL,20,H,Slaven Belupo,0 – 0,500,,Sportnet.hr
38,12 Mar,1. HNL,21,A,Cibalia,1 – 0,"6,000",Bećiraj,Sportnet.hr
39,19 Mar,1. HNL,22,H,Hajduk Split,2 – 0,"15,000","Badelj, Bećiraj",Sportnet.hr
40,02 Apr,1. HNL,23,A,NK Zagreb,1 – 0,"3,000",Calello,Sportnet.hr
41,06 Apr,Cup,SF,H,Slaven Belupo,4 – 1,"1,000","Sammir, Sylvestr, Badelj, Tomečak",Sportnet.hr
