M,Date,Tournament,Round,Ground,Opponent,Score,Attendance,Dinamo Scorers,Report,Filler_1,Random_Column_2
42,09 Apr,1. HNL,24,H,Lokomotiva,1 – 0,"1,693",Sylvestr,Sportnet.hr,NswoMD,T81rE
43,16 Apr,1. HNL,25,A,Istra 1961,1 – 2,"2,500",Bećiraj,Sportnet.hr,vPJUdvPa,J8Te4Ies
44,20 Apr,Cup,SF,A,Slaven Belupo,1 – 0,"3,000",Tomečak,Sportnet.hr,OdqQKI,GsrKX7t
45,23 Apr,1. HNL,26,H,Osijek,1 – 0,"1,850",Badelj,Sportnet.hr,SMZKx,whyb3UdS
46,30 Apr,1. HNL,27,A,Šibenik,2 – 0,"2,000","Morales, Rukavina",Sportnet.hr,icLBK,ZMZ4Pk
47,6 May,1. HNL,28,H,Inter Zaprešić,1 – 0,600,Bećiraj,Sportnet.hr,PQrwoQ,plFpZ
48,11 May,Cup,Final,H,Varaždin,5 – 1,"5,000","Sammir, Tonel, Bećiraj (2), Badelj",Sportnet.hr,tmDtef,js4hv
49,14 May,1. HNL,29,A,Zadar,0 – 0,"2,500",,Sportnet.hr,TuykRaYi,SfXX9CDX
50,21 May,1. HNL,30,H,RNK Split,1 – 1,"3,000",Badelj,Sportnet.hr,FmwCLR,c3AXF
51,25 May,Cup,Final,A,Varaždin,3 – 1,"3,500","Ibáñez, Badelj, Bećiraj",Sportnet.hr,FzLqXpA,yi851
