Name,Location,City,Listing date
Governor Cyrus Gray Luce Homesite Informational Site,Northeast corner of Division and East Washington streets,Coldwater,"August 15, 1975"
Methodist Episcopal Church,126 Marshall Road,Coldwater,"April 17, 1997"
General John G. Parkhurst House,55 North Clay Street,Coldwater,"June 15, 1979"
Harriet Quimby Informational Designation,Branch County Memorial Airport,Coldwater,"January 21, 1988"
Quincy Township Public Library,"11 North Main Street, just north of US-12",Quincy,"April 25, 1988"
State Public School at Coldwater,620 Marshall Road,Coldwater,"May 13, 1981"
Tibbits Opera House,14 South Hanchett Street,Coldwater,"December 11, 1970"
Union City Iron Furnace,M-60 near Waterworks Road,Union Township,"February 14, 1963"
Union City Methodist Episcopal Church,200 Ellen Street,Union City,"September 19, 1991"
Lucius M. Wing House†,"27 South Jefferson Street, NE corner of S. Jefferson and East Pearl Street",Coldwater,"October 17, 1974"
John D. Zimmerman House,119 East High Street,Union City,"September 21, 1983"
