Year,Title,Role,Notes,Random_Column_1,Random_Column_2,Dummy_Col_3
1995,Polio Water,Diane,Short film,OttBe,RgH5U0,McalVT
1996,New York Crossing,Drummond,Television film,gNW9t,tuV2Kdk,qWrDYbg
1997,Lawn Dogs,Devon Stockard,,paPMsU,sJL9y,RkIRkAii
1999,Pups,Rocky,,Z1GJn,NeHhFucU,siVKUKy
1999,Notting Hill,12-Year-Old Actress,,MCGGyc3,8X7vH,MArXv
1999,The Sixth Sense,Kyra Collins,,RrQwM,3fUsJwYa,rKjxh
2000,Paranoid,Theresa,,hg31FP,G3IO48,YSExUdjX
2000,Skipped Parts,Maurey Pierce,,0pIxRZh,1DQy2,Dtciztm
2000,Frankie & Hazel,Francesca 'Frankie' Humphries,Television film,Gl9R9Nm,YdyBRDr,KuLuaukT
2001,Lost and Delirious,Mary 'Mouse' Bedford,,T4fXp5n,Lp0J0,arPBzN
2001,Julie Johnson,Lisa Johnson,,DMT1n,ZpTRnXak,AtfxZBix
