Year,Title,Role,Notes,Extra_Data_1,Filler_2,Extra_Data_3
2010,Don't Fade Away,Kat,,82,GdkgT,256
2011,You and I,Lana,,544,TbbCOy,95
2012,Into the Dark,Sophia Monet,,546,mJsaAN,418
2012,Ben Banks,Amy,,148,rYMlDI,801
2012,Apartment 1303 3D,Lara Slate,,799,VwhTwbjD,663
2012,Cyberstalker,Aiden Ashley,Television film,199,RTWuVZAn,180
2013,Bhopal: A Prayer for Rain,Eva Gascon,,209,WKTjsn,914
2013,A Resurrection,Jessie,Also producer,731,sxgbMQHq,550
2013,L.A. Slasher,The Actress,,241,guUzINUb,601
2013,Gutsy Frog,Ms. Monica,Television film,626,dIvSKeX,258
