Season,Competition,Round,Opponent,Home,Away,Agg.,Irrelevant_1
1964–65,Inter-Cities Fairs Cup,R1,Everton,2–5,2–4,4–9,MCMwPRn
1965–66,Inter-Cities Fairs Cup,R2,Hearts,1–3,0–1,1–4,32qBr8c
1966–67,European Cup,R1,17 Nëntori Tirana,N/A,N/A,Bye,zOUsl
1966–67,European Cup,R2,Linfield,1–4,1–1,2–5,rOBCjEy
1975–76,UEFA Cup,R1,Athlone Town,1–1,1–3,2–4,N2HOBy
1981–82,Cup Winners' Cup,R1,Legia Warszawa,2–2,1–4,3–6,Wj6onqWW
1982–83,European Cup,PR,Dinamo Bucureşti,2–1,1–3,3–4,5rTbRx6k
1984–85,European Cup,R1,Sparta Prague,3–3,0–2,3–5,LXOR8
1985–86,European Cup,R1,Zenit Leningrad,0–2,0–2,0–4,Fs5Tmf49
1986–87,UEFA Cup,R1,Beveren,0–0,0–1,0–1,fFhJ5kl
1998–99,Cup Winners' Cup,R1,Rapid Bucureşti,0–0,2–2,2–2 (a),G9gCGIV9
1998–99,Cup Winners' Cup,R2,Beşiktaş,1–0,3–3,4–3,5zjK6QX
1998–99,Cup Winners' Cup,QF,Chelsea,2–3,0–3,2–6,n3441
1999–2000,Intertoto Cup,R1,FK Ventspils,1–0,0–2,1–2,Z0FwA
