Season,Competition,Round,Opponent,Home,Away,Agg.
2003–04,UEFA Cup,R1,Grazer AK,0–0,1–1,1–1 (a)
2003–04,UEFA Cup,R2,Wisła Kraków,0–0,0–0,0–0 (4–3 p)
2003–04,UEFA Cup,R3,Newcastle United,1–1,1–3,2–4
2005–06,Champions League,QR2,Haka,1–0,4–1,5–1
2005–06,Champions League,QR3,Club Brugge,1–0,0–1,1–1 (3–4 p)
2005–06,UEFA Cup,R1,Steaua Bucureşti,0–3,1–3,1–6
2006–07,Champions League,QR2,Mladá Boleslav,2–2,1–3,3–5
2007–08,UEFA Cup,QR1,Flora Tallinn,1–0,1–0,2–0
2007–08,UEFA Cup,QR2,Ekranas,6–0,1–1,7–1
2007–08,UEFA Cup,R1,Austria Wien,2–2,0–2,2–4
2009–10,Europa League,QR3,PAOK,1–2,1–0,2–2 (a)
2011–12,Europa League,QR2,Mika,1–0,1–0,2–0
2011–12,Europa League,QR3,PAOK,0–2,0–3,0–5
