No. inseries,No. inseason,Title,Directed by,Written by,Original air date,Extra_Data_1,Extra_Data_2,Extra_Data_3
1,1,"\Dream House / UFO Encounter\""""",Allan Kroeker,Will Dixon / James Nadler,"September 28, 1996",826,337,737
2,2,"\Possession / Man Out of Time\""""",John Bell / Allan Kroeker,James Nadler / Larry Raskin,"October 5, 1996",677,520,442
3,3,"\Reptilian Revenge / Ghostly Voices\""""",Giles Walker / Allan Kroeker,Will Dixon / Richard Oleksiak,"October 12, 1996",495,948,221
4,4,"\Creeping Darkness / Power\""""",John Bell / Allan Kroeker,David Preston / Gerald Wexler,"October 19, 1996",811,86,559
5,5,"\Free Fall / Presence\""""",Milan Cheylov / John Bell,Larry Raskin / Ian Weir,"October 26, 1996",993,790,412
6,6,"\The Infestation / Human Apportation\""""",Giles Walker / John Bell,Damian Kindler / Denise Fordham,"November 2, 1996",530,222,429
7,7,"\The Underneath / Phantom Limb\""""",Milan Cheylov / Allan Kroeker,Robert C. Cooper / Sherman Snukal,"November 9, 1996",163,939,173
8,8,"\The Transient / Two Lost Old Men\""""",Giles Walker,Damian Kindler / Ian Weir,"November 16, 1996",211,902,554
9,9,"\UFO Duplication / Clara's Friend\""""",Marc Voizard,Robert C. Cooper / Will Dixon,"November 23, 1996",558,269,555
10,10,"\The Hunter / The Healer\""""",John Bell,Damian Kindler / Larry Raskin,"November 30, 1996",150,213,964
11,11,"\The Curse / Angel on a Plane\""""",Marc Voizard / Ken Girotti,Will Dixon / Ian Weir,"January 18, 1997",318,658,56
