No. inseries,No. inseason,Title,Directed by,Written by,Original air date
12,12,"\Anasazi Cave / Devil's Triangle\""""",Marc Voizard / Ken Girotti,Sherman Snukal / Damian Kindler,"January 25, 1997"
13,13,"\The Undead / The Stalker\""""",Clay Boris,Will Dixon / Alex Pugsley,"February 1, 1997"
14,14,"\The Forbidden North / Reincarnation\""""",Ken Girotti,Damian Kindler / Peter Aykroyd,"February 8, 1997"
15,15,"\The Greenhouse Effect / The Buzz\""""",Clay Boris,Damian Kindler / Sherman Snukal,"February 15, 1997"
16,16,"\The Light\""""",Milan Cheylov,Will Dixon,"February 22, 1997"
17,17,"\The 13th Floor / The Believer\""""",Clay Boris / Craig Pryce,Jean Hurtubise / Damian Kindler,"April 12, 1997"
18,18,"\The Fog / House on Garden Street\""""",Clay Boris,Robert C. Cooper / Chris Dickie,"April 19, 1997"
19,19,"\Second Sight / Chocolate Soldier\""""",Milan Cheylov,Sherman Snukal / Will Dixon,"April 26, 1997"
20,20,"\Fire Within / Fate\""""",Aaron Schuster,Richard Oleksiak / Damian Kindler,"May 3, 1997"
21,21,"\Death at Sunset / Collision\""""",Ross Clyde,Jeremy Hole / Sherman Snukal,"May 10, 1997"
22,22,"\Perestroika\""""",Giles Walker,Will Dixon,"May 17, 1997"
