#,Title,Type,Openingdate,Closingdate,Performances,Comment
12.,Miss Saigon,M,"April 11, 1991","January 28, 2001","4,092",3 Tony Awards in 19914 Drama Desk Awards in 1991
13.,42nd Street,M,"August 25, 1980","January 8, 1989","3,486","2 Tony Awards in 1981, including Best Musical2 Drama Desk Awards in 1981Revival in 2001 (1,524 performances)"
14.,Jersey Boys,M,"November 6, 2005",,"3,476","Currently running at the August Wilson Theatre4 Tony Awards in 2006, including Best Musical2 Drama Desk Awards in 2006Grammy Award for Best Musical Show Album in 2007"
15.,Grease,M,"February 14, 1972","April 13, 1980","3,388","2 Drama Desk Awards in 1972Revivals in 1994 (1,505 performances) and 2007 (554 performances)"
16.,Fiddler on the Roof,M,"September 22, 1964","July 2, 1972","3,242","9 Tony Awards in 1965, including Best MusicalA Special Tony Award in 1972 for becoming Broadway's longest-running musicalRevivals in 1976 (167 performances), 1981 (53 performances), 1990, (241 performances), and 2004 (781 performances)"
17.,Life with Father,P,"November 8, 1939","July 12, 1947","3,224",Broadway's longest-running straight play
18.,Tobacco Road,P,"December 4, 1933","May 31, 1941","3,182","Revivals in 1942 (34 performances), 1943 (66 performances), and 1950 (7 performances)"
19.,"Hello, Dolly!",M,"January 16, 1964","December 27, 1970","2,844","10 Tony Awards in 1964, including Best MusicalA Drama Desk Award in 1970Revivals in 1975 (42 performances), 1978 (147 performances), and 1995 (116 performances)"
20.,My Fair Lady,M,"March 15, 1956","September 29, 1962","2,717","6 Tony Awards in 1957, including Best MusicalRevivals in 1976 (377 performances), 1981 (120 performances), and 1993 (165 performances)"
21.,Hairspray,M,"August 16, 2002","January 4, 2009","2,642","8 Tony Awards in 2003, including Best Musical10 Drama Desk Awards in 2003, including Outstanding MusicalGrammy Award for Best Musical Show Album in 2003"
22.,Mary Poppins,M,"November 16, 2006","March 3, 2013","2,619",A Tony Award in 20072 Drama Desk Awards in 2007
