#,Title,Type,Openingdate,Closingdate,Performances,Comment
67.,Billy Elliot the Musical,M,"November 13, 2008","January 8, 2012","1,312","10 Tony Awards in 2009, including Best Musical10 Drama Desk Awards in 2009, including Outstanding Musical"
68.,Movin' Out,D,"October 24, 2002","December 11, 2005","1,303",2 Tony Awards in 2003A Drama Desk Award in 2003
69.,Brighton Beach Memoirs,P,"March 27, 1983","May 11, 1986","1,299",2 Tony Awards in 1983Revival in 2009 (9 performances)
70.,Angel Street,P,"December 5, 1941","December 30, 1944","1,295",Revivals in 1948 (14 performances) and 1975 (52 performances)
71.,Lightnin',P,"August 26, 1918","August 27, 1921","1,291",Revival in 1938 (54 performances)
72.,"Promises, Promises",M,"December 1, 1968","January 1, 1972","1,281",2 Tony Awards in 19692 Drama Desk Awards in 1969Grammy Award for Best Score From an Original Cast Show Album in 1970Revival in 2010 (289 performances)
73.,The Book of Mormon,M,"March 24, 2011",,"1,259","Currently running at the Eugene O'Neill Theatre9 Tony Awards in 2011, including Best Musical5 Drama Desk Awards in 2011, including Outstanding MusicalGrammy Award for Best Musical Theater Album in 2012"
74.,The King and I,M,"March 29, 1951","March 20, 1954","1,246","5 Tony Awards in 1952, including Best MusicalRevivals in 1977 (695 performances), 1985 (191 performances), and 1996 (780 performances)"
75.,Cactus Flower,P,"December 8, 1965","November 23, 1968","1,234",
76.,Sleuth,P,"November 12, 1970","October 13, 1973","1,222","A Tony Award in 1971, Best Play"
76.,Torch Song Trilogy,P,"June 10, 1982","May 19, 1985","1,222","2 Tony Awards in 1983, including Best Play2 Drama Desk Awards in 1983, including Outstanding Play"
