#,Title,Type,Openingdate,Closingdate,Performances,Comment
1.,The Phantom of the Opera,M,"January 26, 1988",,"10,887","Currently running at the Majestic Theatre7 Tony Awards in 1988, including Best Musical7 Drama Desk Awards in 1988Broadway's longest-running show and musical"
2.,Cats,M,"October 7, 1982","September 10, 2000","7,485","7 Tony Awards in 1983, including Best Musical3 Drama Desk Awards in 1983Grammy Award for Best Cast Show Album in 1984"
3.,Chicago,M,"November 14, 1996",,"7,213","Currently running at the Ambassador TheatreRevival6 Tony Awards in 1997, including Best Revival of a Musical6 Drama Desk Awards in 1997, including Outstanding Revival of a MusicalGrammy Award for Best Musical Show Album in 1998Original production in 1975 (936 performances)Broadway's longest-running revivalLongest running show to have premiered on Broadway"
4.,The Lion King,M,"November 13, 1997",,"6,806","Currently running at the Minskoff Theatre6 Tony Awards in 1998, including Best Musical8 Drama Desk Awards in 1998Grammy Award for Best Musical Show Album in 1999"
5.,Les Misérables,M,"March 12, 1987","May 18, 2003","6,680","8 Tony Awards in 1987, including Best Musical5 Drama Desk Awards in 1987, including Outstanding MusicalGrammy Award for Best Musical Cast Show Album in 1988Revivals in 2006 (463 performances) and 2014 (9 performances, currently running at the Imperial Theatre)"
6.,A Chorus Line,M,"July 25, 1975","April 28, 1990","6,137","9 Tony Awards in 1976, including Best Musical5 Drama Desk Awards in 1976, including Outstanding MusicalA Special Tony Award in 1984 for becoming Broadway's longest-running musicalPulitzer Prize for Drama in 1976Revival in 2006 (759 performances)"
7.,Oh! Calcutta!,R,"September 24, 1976","August 6, 1989","5,959",RevivalOriginal production in 1969 (1314 performances)Broadway's longest-running revue
8.,Beauty and the Beast,M,"April 18, 1994","July 29, 2007","5,461",Tony Award for Best Costume Design in 1994
9.,Mamma Mia!,M,"October 18, 2001",,"5,151","Currently running at the Broadhurst TheatreLongest-running \jukebox musical\"" on Broadway"""
10.,Rent,M,"April 29, 1996","September 7, 2008","5,123","4 Tony Awards in 1996, including Best Musical6 Drama Desk Awards in 1996, including Outstanding MusicalPulitzer Prize for Drama in 1996Grammy Award for Best Musical Show Album in 1996"
11.,Wicked,M,"October 30, 2003",,"4,333","Currently running at the Gershwin Theatre3 Tony Awards in 20047 Drama Desk Awards in 2004, including Outstanding MusicalGrammy Award for Best Musical Show Album in 2005"
