#,Title,Type,Openingdate,Closingdate,Performances,Comment
34.,The Magic Show,M,"May 28, 1974","December 31, 1978","1,920",
35.,Aida,M,"March 23, 2000","September 5, 2004","1,852",4 Tony Awards in 2000A Drama Desk Award in 2000Grammy Award for Best Musical Show Album in 2001
36.,Gemini,P,"May 21, 1977","September 6, 1981","1,819",
37.,Deathtrap,P,"February 26, 1978","June 13, 1982","1,793",
38.,Harvey,P,"November 1, 1944","January 15, 1949","1,775",Revival in 1970 (79 performances) and 2012 (62 performances)
39.,Dancin',D,"March 27, 1978","June 27, 1982","1,774",2 Tony Awards in 19782 Drama Desk Awards in 1978Broadway's longest-running dance musical
40.,La Cage aux Folles,M,"August 21, 1983","November 15, 1987","1,761","6 Tony Awards in 1984, including Best Musical3 Drama Desk Awards in 1984Revivals in 2004 (229 performances) and 2010 (433 performances)"
41.,Hair,M,"April 29, 1968","July 1, 1972","1,750","A Drama Desk Award in 1968Grammy Award for Best Score From an Original Cast Show Album in 1969Revivals in 1977 (43 performances), 2004 (1 benefit performance), 2009 (519 performances) and 2011 (67 performances)"
42.,The Wiz,M,"January 5, 1975","January 28, 1979","1,672","7 Tony Awards in 1975, including Best Musical5 Drama Desk Awards in 1975, including Outstanding MusicalGrammy Award for Best Cast Show Album in 1976Revival in 1984 (13 performances)"
43.,Born Yesterday,P,"February 4, 1946","December 31, 1949","1,642",Revivals in 1989 (153 performances) and 2011 (73 performances)
44.,Crazy for You,M,"February 19, 1992","January 7, 1996","1,622","3 Tony Awards in 1992, including Best Musical2 Drama Desk Awards in 1992, including Outstanding Musical"
