#,Title,Type,Openingdate,Closingdate,Performances,Comment
23.,Avenue Q,M,"July 31, 2003","September 13, 2009","2,534","3 Tony Awards in 2004, including Best Musical"
24.,The Producers,M,"April 19, 2001","April 22, 2007","2,502","12 Tony Awards in 2001, including Best Musical11 Drama Desk Awards in 2001, including Outstanding MusicalGrammy Award for Best Musical Show Album in 2002Most Tony Awards won by a production"
25.,Annie,M,"April 21, 1977","January 2, 1983","2,377","7 Tony Awards in 1977, including Best Musical7 Drama Desk Awards in 1977, including Outstanding MusicalGrammy Award for Best Cast Show Album in 1978Revivals in 1997 (239 performances) and 2012 (487 performances)"
25.,Cabaret,M,"March 19, 1998","January 4, 2004","2,377","Revival4 Tony Awards in 1998, including Best Revival of a Musical3 Drama Desk Awards in 1998, including Outstanding Revival of a MusicalOriginal production in 1966 (1165 performances) and revivals in 1987 (261 performances) and 2014"
27.,Man of La Mancha,M,"November 22, 1965","June 26, 1971","2,328","5 Tony Awards in 1966, including Best MusicalRevivals in 1972 (140 performances), 1977 (124 performances), 1992 (108 performances), and 2002 (304 performances)"
28.,Abie's Irish Rose,P,"May 23, 1922","October 1, 1927","2,327",Revivals in 1937 (46 performances) and 1954 (20 performances)
29.,Oklahoma!,M,"March 31, 1943","May 29, 1948","2,212","A Special Tony Award in 1993 for the show's 50th anniversaryRevivals in 1951 (100 performances), 1953 (40 performances), 1979 (293 performances), and 2002 (388 performances)"
30.,Smokey Joe's Cafe,R,"March 2, 1995","January 16, 2000","2,036",
31.,Rock of Ages,M,"April 7, 2009",,"1,992",Currently running at the Helen Hayes Theatre
32.,Pippin,M,"October 23, 1972","June 12, 1977","1,944","5 Tony Awards in 19735 Drama Desk Awards in 1973Revival in 2013 (389 performances, currently running at the Music Box Theatre)"
33.,South Pacific,M,"April 7, 1949","January 16, 1954","1,925","10 Tony Awards in 1950, including Best MusicalPulitzer Prize for Drama in 1950Revivals in 1955 (15 performances) and 2008 (996 performances)"
