#,Title,Type,Openingdate,Closingdate,Performances,Comment
56.,Grease,M,"May 11, 1994","January 25, 1998","1,505","RevivalOriginal production in 1972 (3,388 performances) and revival in 2007 (554 performances)"
57.,"Same Time, Next Year",P,"March 14, 1975","September 3, 1978","1,453","A Tony Award in 19752 Drama Desk Awards in 1975, including Outstanding Play"
58.,Arsenic and Old Lace,P,"January 10, 1941","June 17, 1944","1,444",Revival in 1986 (221 performances)
59.,The Sound of Music,M,"November 16, 1959","June 15, 1963","1,443","5 Tony Awards in 1960, including Best MusicalGrammy Award for Best Show Album (Original Cast) in 1961Revival in 1998 (533 performances)"
60.,Me and My Girl,M,"August 10, 1986","December 31, 1989","1,420",3 Tony Awards in 19875 Drama Desk Awards in 1987
61.,How to Succeed in Business Without Really Trying,M,"October 14, 1961","March 6, 1965","1,417","7 Tony Awards in 1962, including Best MusicalPulitzer Prize for Drama in 1962Grammy Award for Best Original Cast Show Album in 1962Revivals in 1995 (548 performances) and 2011 (473 performances)"
62.,Hellzapoppin,R,"September 22, 1938","December 17, 1941","1,404",
63.,The Music Man,M,"December 19, 1957","April 15, 1961","1,375","6 Tony Awards in 1958, including Best MusicalGrammy Award for Best Original Cast Album (Broadway or TV) in 1959Revivals in 1980 (21 performances) and 2000 (699 performances)"
64.,Funny Girl,M,"March 26, 1964","July 1, 1967","1,348",Grammy Award for Best Score From an Original Cast Show Album in 1965Revival in 2002 (1 benefit performance)
65.,Mummenschanz,S,"March 30, 1977","April 20, 1980","1,326",Broadway's longest-running special
66.,Oh! Calcutta!,R,"June 17, 1969","August 12, 1972","1,314","Original productionRevival in 1976 (5,959 performances)"
