#,Title,Type,Openingdate,Closingdate,Performances,Comment
45.,Ain't Misbehavin',R,"May 9, 1978","February 21, 1982","1,604","3 Tony Awards in 1978, including Best Musical3 Drama Desk Awards in 1978, including Outstanding MusicalGrammy Award for Best Cast Show Album in 1979Revival in 1988 (176 performances)"
46.,The Best Little Whorehouse in Texas,M,"June 19, 1978","March 27, 1982","1,584","2 Tony Awards in 19793 Drama Desk Awards in 1978Revivals in 1982 (63 performances), and 2006 (1 benefit performance)"
47.,Spamalot,M,"March 17, 2005","January 11, 2009","1,575","3 Tony Awards in 2005, including Best Musical3 Drama Desk Awards in 2005, including Outstanding MusicalGrammy Award for Best Musical Show Album in 2006"
48.,"Mary, Mary",P,"March 8, 1961","December 12, 1964","1,572",
49.,Evita,M,"September 25, 1979","June 26, 1983","1,567","7 Tony Awards in 1980, including Best Musical6 Drama Desk Awards in 1980, including Outstanding MusicalGrammy Award for Best Cast Show Album in 1981Revival in 2012 (337 performances)"
50.,The Voice of the Turtle,P,"December 8, 1943","January 3, 1948","1,557",
51.,Jekyll & Hyde,M,"April 28, 1997","January 7, 2001","1,543",2 Drama Desk Awards in 1997Revival in 2013 (30 performances)
52.,Barefoot in the Park,P,"October 23, 1963","June 25, 1967","1,530",A Tony Award in 1964Revival in 2006 (109 performances)
53.,42nd Street,M,"May 2, 2001","January 2, 2005","1,524","Revival2 Tony Awards in 2001, including Best Revival of a MusicalA Drama Desk Award in 2001, Outstanding Revival of a MusicalOriginal production in 1980 (3486 performances)"
54.,Dreamgirls,M,"December 20, 1981","August 11, 1985","1,521",6 Tony Awards in 19824 Drama Desk Awards in 1982Grammy Award for Best Cast Show Album in 1983Revivals in 1987 (177 performances) and 2001 (1 benefit performance)
55.,Mame,M,"May 24, 1966","January 3, 1970","1,508",3 Tony Awards in 1966Grammy Award for Best Score From an Original Cast Show Album in 1967Revival in 1983 (41 performances)
