#,Title,Type,Openingdate,Closingdate,Performances,Comment,Unused_1,Noise_Field_2
89.,The Seven Year Itch,P,"November 20, 1952","August 13, 1955","1,141",A Tony Award in 1953,,NGcOUh
90.,The 25th Annual Putnam County Spelling Bee,M,"May 2, 2005","January 20, 2008","1,136",2 Tony Awards in 20053 Drama Desk Awards in 2005,,ehUhboXb
91.,"Bring in 'da Noise, Bring in 'da Funk",D,"April 25, 1996","January 10, 1999","1,135",4 Tony Awards in 19962 Drama Desk Awards in 1996,,IDzFaINY
92.,Butterflies Are Free,P,"October 21, 1969","July 2, 1972","1,128",A Tony Award in 1970,,wKchagu
93.,Pins and Needles,R,"November 27, 1937","June 22, 1940","1,108",,,mrEAPfKj
94.,Plaza Suite,P,"February 14, 1968","October 3, 1970","1,097",A Tony Award in 1968,,HZigcvlE
95.,Fosse,D,"January 14, 1999","August 25, 2001","1,093","3 Tony Awards in 1999, including Best MusicalA Drama Desk Award in 1999",,uWXNnhn
96.,They're Playing Our Song,M,"February 11, 1979","September 6, 1981","1,082",,,RKMRqXZ
97.,"Kiss Me, Kate",M,"December 30, 1948","July 28, 1951","1,077","5 Tony Awards in 1949, including Best MusicalRevivals in 1952 (8 performances) and 1999 (881 performances)First show to win the Tony Award for Best Musical, among other Tony awards",,nAvsd
98.,Spider-Man: Turn Off the Dark,M,"June 14, 2011","January 4, 2014","1,066",,,RbUSsmBC
