Year,Title,Chinese title,Role,Notes,Dummy_Col_1
1995,Cupid Love,七月俏佳人,Ching-ching,,tvwGGx
1995,A Chinese Odyssey Part One: Pandora's Box,西遊記第壹佰零壹回之月光寶盒,Purple / Lin Zixia,,SdycXX
1995,A Chinese Odyssey Part Two: Cinderella,西遊記大結局之仙履奇緣,Lin Zixia,,heEXKezp
1996,The Feeling of Love,重慶愛情感覺,,,iYkepxvr
1996,Hero of Swallow,神偷燕子李三,Chinny,,bJrBR
1997,Ah Fai the Dumb,天才與白痴,Man-man,,AGkrttPF
1998,Temptress of a Thousand Face,千面嬌娃,Sherry Wong,,uXEjyVCn
1998,Tricky King,超級整蠱霸王,DKNY / Yandy,,Pmohxs
1998,Step into the Dark,夜半無人屍語時,Faith Ching,,uPzQD
1998,Shanghai Affairs,新唐山大兄,Sin,,TTJxD
1998,The Love and Sex of the Eastern Hollywood,愛在娛樂圈的日子,Yue,,pMnbFuJ
