Year,Title,Chinese title,Role,Notes,Random_Column_1,Irrelevant_2
2002,Chinese Odyssey 2002,天下無雙,Amour Amour,guest star,mdbaEJdt,T9Ivyn
2002,Time 4 Hope,二人三足,Cindy,,rSmrSw5U,lKCKc
2003,Shiver,心寒,Sammi Mok Sum-yi,,qxp7g,4jMDT2
2003,Dack Night Wolf,,,,eOoCZD,joQmc
2004,Sex and the Beauties,性感都市,Kwan Tak-han,,1iAPElEu,Ha46dE2
2004,Love is a Many Stupid Thing,精裝追女仔2004,Chu Yan,guest star,RF8ll,KuGVOm
2007,Whispers and Moans,性工作者十日談,Coco,,AY5JD2,2XL1XXcU
2010,Just Another Pandora's Box,越光寶盒,Purple Cloud,guest star,fAh1g2aq,3W2qbsR5
2010,The Aroma City,芳香之城傳奇,So Ling-fong,,UFswLXb,3vKTMz3T
2010,Let Love Come Back,讓愛回家,Ng Fan,,XL2BL,dbRku
2011,Scary Market,嘿店,,,8aCRZBFZ,KGfqPV
