Year,Title,Chinese title,Role,Notes,Noise_Field_1,Random_Column_2,Irrelevant_3
1992,To Miss with Love,逃學外傳,Lai Man-si,,CkIoXlzI,WG7XF,9vUer2c
1992,Super Lady Cop,超级女警,Yoki,,wrIft,talnXD,ZxQ7aHf2
1992,Fight Back to School II,逃學威龍2,Sandy,,YXUZYS,pqpjKL,YjeMi0X
1993,Once a Cop,超級計劃,Annie Lee,,hpaOBmyx,UEqvme,2095vJMP
1993,Taxi Hunter,的士判官,Yan,,GdOfJZgS,JlrAZXU,380IH5
1993,"Tom, Dick And Hairy",風塵三俠,Pearl Chan,,sDiLRynw,6LxgyTER,GlbucJv
1993,Vampire Family,一屋哨牙鬼,Chu Lee-mei,,KXcqtDni,Y0A3kre,YDO5zqZ
1994,Lantern,燈籠,Fong,,RMuQn,QAkv1i,lA0aawF
1994,Easy Money,先洗未來錢,Sisi Li,,IQhCoy,qzXrh,QHFoO
1995,Shaolin Kung Fu Kids,笑林老祖,Sister Lam,,aNGTRVz,0B0pVk,nrm52Apc
1995,Trouble Maker,蠟筆小小生,,,yZqtLDi,LWuKA,tWpcP
1995,"Remember M, Remember E",那有一天不想你,Chui Ching,,PZMjgRm,pQN1C,hE0tY
