Dates,Location,Attendance,Official guests,Notes
"July 22–23, 1972","Pick-Congress Hotel, Chicago","2,000",None,Known as Nostalgia '72
"August 3–5, 1973",Pick-Congress Hotel,,None,"Known as Nostalgia '73, 2nd Annual Chicago Comic and Nostalgia Convention"
Summer 1974,Chicago,,,"Known as Nostalgia '74, 3rd Annual Chicago Comic and Nostalgia Convention"
Summer 1975,Chicago,"1,000",,"Known as Nostalgia '75, 4th Annual Chicago Comic and Nostalgia Convention"
"August 6–8, 1976","Playboy Towers Hotel, Chicago","2,100","Stan Lee, Jenette Kahn, Harvey Kurtzman, Mike Grell, and Tim Conrad",
"August 5–7, 1977","Pick-Congress Hotel, Chicago","3,000","Stan Lee, Jenette Kahn, Chester Gould, and Howard Chaykin",
"July 14–16, 1978",Pick-Congress Hotel,"2,500","Guest of honor: Chester Gould; other guests include Al Milgrom, Chris Claremont, Rudy Nebres, and Dale Messick",Will Eisner was invited to be an \Extra Special Guest
"July 20–22, 1979",Pick-Congress Hotel,"2,000",Mike W. Barr and John Byrne,
"July 18–20, 1980",Pick-Congress Hotel,,"Guest of honor: Roy Thomas; other guests: Frank Brunner, Dave Manak, Frank Miller, Josef Rubinstein, Roger Stern, Laurie Sutton, Chris Claremont, Jack C. Harris, Paul Kupperberg, Paul Levitz, Al Milgrom, Steve Mitchell, Joe Staton, Len Wein, and Marv Wolfman",Officially the fifth annual show
"July 17–19, 1981",Pick-Congress Hotel,,"Guest of honor: Will Eisner. New guests for 1981: Terry Beatty, Jim Engel, Chuck Fiala, Denis Kitchen, Bill Sienkiewicz, and Dean Mullaney. Returning guests: John Byrne, Howard Chaykin, Chris Claremont, Max Allan Collins, Mike Grell, Mike Friedrich, Roger Slifer, Paul Kupperberg, Marshall Rogers, Jim Shooter, Joe Staton, Roger Stern, Len Wein, Marv Wolfman, and Cat Yronwode",Eisner unable to attend due to an accident.
"July 16–18, 1982",Americana-Congress Hotel,,Will Eisner,
