Dates,Location,Attendance,Official guests,Notes,Unused_1
"July 3–5, 1994",Rosemont Convention Center,"20,000+",Guest of honor: Harlan Ellison. Special guest: James O'Barr,,
"June 30–July 2, 1995",Rosemont Convention Center,"20,000","Guest of honor: Peter David. Special guests: Sal Buscema, Roy Thomas, John Romita Sr., Chris Claremont, Jim Shooter, and Julius Schwartz",,
"June 21–23, 1996",Rosemont Convention Center,"25,000","Guest of honor: Will Eisner; other guests: Harlan Ellison, Larry Marder, Heidi MacDonald, Mike Richardson, Kurt Busiek, Sergio Aragonés, Evan Dorkin, Paul Levitz, Julius Schwartz, Mercy Van Vlack, and George Pérez",,
"July 4–6, 1997",Rosemont Convention Center,"5,000",,,
"July 17–19, 1998",Rosemont Convention Center,"25,000",Guest of honor: Todd McFarlane. Special guests: David Prowse and Kenny Baker,,
"July 9–11, 1999",Rosemont Convention Center,,,,
"August 4–6, 2000",Rosemont Convention Center,,,,
"August 17–19, 2001",Rosemont Convention Center,"40,000+","Guest of honor: Alex Ross. Special guests: Kevin Smith, Jason Mewes, Gene Simmons, Peter Mayhew, David Prowse, Kenny Baker, Kimmie Kappenberg from Survivor, James Marsters, and Juliet Landau",,
"July 5–7, 2002",Rosemont Convention Center,,Guest of honor: Marc Silvestri. Special guest: Stan Lee,,
"August 8–10, 2003",Rosemont Convention Center,TK,"Mark Bagley, Laura Bailey, Eric Basaldua, Scott Beatty, Tony Bedard, Brian Michael Bendis, Lee Bermejo, Josh Blaylock, Talent Caldwell, John Cassaday, Jim Cheung, Scott Ciencin, Amanda Conner, Tony Daniel, Nelson Decastro, Andrea Di Vito, Paul Dini, Chuck Dixon, Dale Eaglesham, Steve Epting, Lou Ferrigno, Jackson Guice, Gene Ha, Greg Horn, Paul Jenkins, Phil Jiminez, Geoff Johns, Jeff Johnson, Barbara Kesel, Adam Kubert, Greg Land, Erik Larsen, Jim Lee, Joseph Michael Linsner, Jeph Loeb, Jim Mahfood, Steve McNiven, Angel Medina, Mark Millar, Karl Moline, Steve Niles, Phil Noto, Jimmy Palmiotti, Paul Pelletier, Brandon Peterson, Eric Powell, Joe Quesada, Humberto Ramos, Robert Rodi, Alex Ross, R.A. Salvatore, Bart Sears, Marc Silvestri, Kevin Smith, Matthew Dow Smith, Peter Steigerwald, Philip Tan, Michael Turner, Jim Valentino, Brian K. Vaughn, Mark Waid, Judd Winick, and Skottie Young",,
