Dates,Location,Attendance,Official guests,Notes,Extra_Data_1,Irrelevant_2
"August 13–15, 2004",Rosemont Convention Center,,"Guest of honor: Joss Whedon. Special guests: Kelly Hu and Amber Benson. Other guests: Brian Michael Bendis, Josh Blaylock, J. Scott Campbell, John Cassaday, Jim Cheung, Marie Croall, Tony Daniel, Lou Ferrigno, Gene Ha, Greg Horn, Geoff Johns, Dan Jolley, Jim Lee, Jeph Loeb, Sean McKeever, Angel Medina, Mark Millar, Mike Norton, Joe Quesada, Alex Ross, Alex Saviuk, Marc Silvestri, Kevin Smith, Michael Turner, Brian K. Vaughn, and Skottie Young",,219,go8hRd
"August 5–7, 2005",Rosemont Convention Center,,,,699,LZTZiP
"August 3–6, 2006","Donald E. Stephens Convention Center, Rosemont","58,000",Guest of honor: Jeph Loeb,Show expands to four days,38,74llFn
"August 9–12, 2007",Donald E. Stephens Convention Center,,,,532,vGbTO
"June 26–29, 2008",Donald E. Stephens Convention Center,"c. 68,000","Guest of Honor: Warren Ellis. Special Guests: Todd McFarlane, Brian Michael Bendis, Alex Ross, Steve Sansweet",World premiere of the new Batman animated movie Batman: Gotham Night,308,3UsIp3
"August 6–9, 2009",Donald E. Stephens Convention Center,"70,000",Guest of honor: Mark Millar. Special guest: Jeremy Dale,,233,RelWtr
"August 19–22, 2010",Donald E. Stephens Convention Center,,"William Shatner, Linda Hamilton, James Marsters, Linda Blair, Nicholas Brendon, Clare Kramer, Claudia Christian, Richard Roundtree, Julia Jones, Joe Madureira, Michael Golden, Arthur Suydam, Brian Pulido, and David W. Mack","Original date of August 12–15 moved so as to not compete with Star Wars Celebration V, taking place in Orlando, Florida; special appearance by Rod Blagojevich.",80,ZBBbyXLC
"August 11–14, 2011",Donald E. Stephens Convention Center,,"Jim Cheung, Brian Azzarello, Eduardo Risso, Gregg Hurwitz, Ariel Olivetti, Electra Avellan, Elise Avellan, Morena Baccarin, Betsy Baker, Julia Benson, Amy Bruni, David Della Rocco, Hal Delrich, Ted DiBiase, Brandon DiCamillo, Kelly Donovan, Lou Ferrigno, Dan Fogler, Gil Gerard, Noah Hathaway, Alaina Huffman, Maria Kanellis, Patricia Kara, Ken Anderson, Clare Kramer, Mercedes McNab, Barbara Nedeljáková, Gena Lee Nolin, Miguel Nunez, Kai Owen, Chandler Riggs, Ellen Sandweiss, Daniel Stewart, Theresa Tilly, Lisa Marie Varon, Val Venis, Virgil, Torrie Wilson, Eric Adams, Dave Atkins, Brian Azzarello, Franco Aureliani, Art Baltazar, Jolly Blackburn, Ian Boothby, Tom Brazelton, Brimstone, Jeffrey Brown, Ivan Brunetti, Steve Bryant, Jim Calafiore, Matt Campbell, David Campiti, Lilli Carré, C. Martin Croker, Geof Darrow, Daxiong, Mike Deodato, Jeff Easley, Larry Elmore, Alan Evans, Ben Fisher, Nathan Fox, Kevin Freeman, Gary Friedrich, Paul Friedrich, Patrick Gleason, Michael Golden, Mike Grell, Pia Guerra, Michael Harvey, Tom Hodges, Greg Horn, Paul Jenkins, Nat Jones, Don Kramer, Mike Lynch, David W. Mack, Nina Matsumoto, Glenn McCoy, Mike McKone, John Jackson Miller, Jeff Miracola, B. Clay Moore, Stuart Moore, Paul Mounts, Mark A. Nelson, Rafael Nieves, Angus Oblong, Ariel Olivetti, Eric Olsen, Phil Ortiz, Dan Parent, Jim Pavelec, Justin Pierce, Andrew Pepoy, John Porcellino, Nate Powell, Humberto Ramos, Bill Reinhold, Eduardo Risso, Tim Seeley, Bill Sienkiewicz, Mike Stoklasa, William Stout, Arthur Suydam, Ben Templesmith, Mark Texeira, Koi Turnbull, Ethan Van Sciver, Matt Wagner, Chris Walker, Steve Wallace, Freddie Williams II, David Willis, Renée Witterstaetter, and David Wong[citation needed]",[citation needed],804,gn89p
"August 9–12, 2012",Donald E. Stephens Convention Center,,"William Shatner, Jeri Ryan, Stan Lee, Jon Bernthal, Maryse Ouellet, CM Punk, Carlos Pacheco, George Pérez, Greg Capullo, Nina Dobrev, Kate Mulgrew, Bruce Campbell, Tom Felton, and Amy Acker",,803,bw0oO
"August 8–11, 2013",Donald E. Stephens Convention Center,,"Special guests: Stan Lee, Morena Baccarin, James Marsters, Juliet Landau, Manu Bennett, Norman Reedus, Michael Rooker, Andrew McCarthy, Jason David Frank, Alan Davis, Esad Ribic, Pasqual Ferry, Harvey Tolibao, Scott Snyder, Greg Capullo, Kenneth Rocafort, Ramon F. Bachs, Francis Portela, Greg Land, Ethan Van Sciver, and Michael Golden",,173,ZicZ6b
