Date,Opponent,Score,Result,Record,Unused_1,Dummy_Col_2,Extra_Data_3
July 22,Minnesota,106-93,Win,13-10,,kvohXhQy,678
July 25,@ Minnesota,103-79,Win,14-10,,TcGpSuAa,364
July 27,@ Chicago,98-96,Win,15-10,,iAcQIc,644
July 29,Indiana,80-75,Win,16-10,,JZIVEXmw,864
July 31,@ Houston,76-74,Win,17-10,,ThVbc,845
August 2,@ San Antonio,84-79,Win,18-10,,GcAYBJMw,642
August 4,@ Seattle,101-111,Loss,18-11,,VwmNLsR,466
August 7,@ Los Angeles,96-93,Win,19-11,,OwwJq,664
August 9,New York,97-86,Win,20-11,,TKWvebYm,461
August 11,Los Angeles,100-83,Win,21-11,,XCzoYPUy,467
August 17,@ Sacramento,101-91,Win,22-11,,WkkNDM,415
