Fin,St,Driver,Car #,Make,Points,Bonus,Laps,Winnings,Extra_Data_1
23,18,Jeremy Mayfield,36,Toyota,94,,192,"$83,075",395
24,22,Regan Smith,01,Chevrolet,96,5,192,"$104,258",580
25,29,Reed Sorenson,41,Dodge,88,,192,"$101,947",887
26,6,Kenny Wallace,78,Chevrolet,90,5,192,"$83,325",71
27,11,Boris Said,160,Ford,87,5,191,"$80,775",911
28,32,Tony Stewart,20,Chevrolet,84,5,190,"$127,761",650
29,12,Greg Biffle,16,Ford,81,5,190,"$97,025",109
30,21,Johnny Sauter,70,Chevrolet,73,,190,"$79,325",480
31,24,Juan Montoya *,42,Dodge,70,,187,"$115,750",560
32,14,David Reutimann *,00,Toyota,67,,184,"$78,525",245
33,5,Ricky Rudd,88,Ford,64,,155,"$110,458",348
