Fin,St,Driver,Car #,Make,Points,Bonus,Laps,Winnings,Dummy_Col_1
12,30,Kasey Kahne,9,Dodge,132,5,192,"$138,891",NzKTg
13,34,Jeff Green,66,Chevrolet,129,5,192,"$120,933",nVTfxq
14,17,Matt Kenseth,17,Ford,126,5,192,"$137,641",oFCHJ
15,39,Elliott Sadler,19,Dodge,123,5,192,"$110,770",Ltjmt
16,4,Sterling Marlin,14,Chevrolet,120,5,192,"$107,983",UYABg
17,10,David Ragan *,6,Ford,117,5,192,"$127,100",YddLVhl
18,23,Kyle Petty,45,Dodge,109,,192,"$103,083",pmNzi
19,31,J.J. Yeley,18,Chevrolet,106,,192,"$116,033",PgKfjJr
20,35,Bobby Labonte,43,Dodge,103,,192,"$127,111",RVtGxUq
21,3,Denny Hamlin,11,Chevrolet,105,5,192,"$102,550",WYjcWnSY
22,27,Tony Raines,96,Chevrolet,97,,192,"$96,425",JBoYA
