Number,Name,Team,Position,Years with franchise,Note
30,George McGinnis,Indiana Pacers,F,1971–1975; 1980–1982,
31,Reggie Miller,Indiana Pacers,G,1987–2005,
34,Mel Daniels,Indiana Pacers,C,1968–1974,
35,Roger Brown,Indiana Pacers,F,1967–1974,
529,Bobby Leonard,Indiana Pacers,—,1968–1980,As head coach; the number represents his 529 victories coaching the Pacers.
13,Wilt Chamberlain,Los Angeles Lakers,C,1968–1973,
22,Elgin Baylor,Los Angeles Lakers,F,1958–1971,The team was in Minneapolis in his first two seasons (1958–1960).
25,Gail Goodrich,Los Angeles Lakers,G,1965–1968; 1970–1976,
32,"Earvin \Magic\"" Johnson""",Los Angeles Lakers,G,1979–1991; 1995–1996,Also served as head coach in 1994.
33,Kareem Abdul-Jabbar,Los Angeles Lakers,C,1975–1989,
34,Shaquille O'Neal,Los Angeles Lakers,C,1996–2004,
42,James Worthy,Los Angeles Lakers,F,1982–1994,
44,Jerry West,Los Angeles Lakers,G,1960–1974,Also served as head coach (1976–1979) and general manager (1981–2002).
52,Jamaal Wilkes,Los Angeles Lakers,F,1977–1985,
Microphone,Chick Hearn,Los Angeles Lakers,—,1960–2002,As broadcaster.
10,Tim Hardaway,Miami Heat,G,1996–2001,
23,Michael Jordan,Miami Heat,G,—,"Never played for the franchise; number retired for \contributions to basketball\""."""
32,Shaquille O'Neal,Miami Heat,C,2004–2008,
33,Alonzo Mourning,Miami Heat,C,1995–2002; 2005–2008,
