Number,Name,Team,Position,Years with franchise,Note
613,Red Holzman,New York Knicks,—,1967–1977; 1978–1982,As head coach; the number represents his 613 victories coaching the Knicks.
6,The fans,Orlando Magic,—,—,
2,Moses Malone,Philadelphia 76ers,C,1982–1986; 1993–1994,"Not officially retired, but taken out of circulation."
3,Allen Iverson,Philadelphia 76ers,G,1996–2006; 2009–2010,
6,Julius Erving,Philadelphia 76ers,F,1976–1987,
10,Maurice Cheeks,Philadelphia 76ers,G,1978–1989,Also served as head coach (2005–2008).
13,Wilt Chamberlain,Philadelphia 76ers,C,1965–1968,
15,Hal Greer,Philadelphia 76ers,G,1958–1973,"During his first five seasons (1958–1963), the team was known as the Syracuse Nationals."
24,Bobby Jones,Philadelphia 76ers,F,1978–1986,
32,Billy Cunningham,Philadelphia 76ers,F,1965–1972; 1974–1975,Also served as head coach (1977–1985); briefly unretired for Charles Barkley in the 1991–92 season.
34,Charles Barkley,Philadelphia 76ers,F,1984–1992,
Microphone,Dave Zinkoff,Philadelphia 76ers,—,1963–1981; 1983–1985,As P.A. announcer.
5,Dick Van Arsdale,Phoenix Suns,G,1968–1977,Also served as head coach (1987).
6,Walter Davis,Phoenix Suns,G,1977–1988,
7,Kevin Johnson,Phoenix Suns,G,1988–1998; 2000,"Retired in 1998, but came back before the end of the 1999–2000 season before retiring again; currently the mayor of Sacramento."
9,Dan Majerle,Phoenix Suns,F,1988–1995; 2001–2002,Formerly an assistant head coach for the Phoenix Suns (2008–2013).
24,Tom Chambers,Phoenix Suns,F,1988–1993,Currently an announcer for Suns games.
33,Alvan Adams,Phoenix Suns,C,1975–1988,Number unretired for Grant Hill from 2007–2012.
34,Charles Barkley,Phoenix Suns,F,1992–1996,
