Number,Name,Team,Position,Years with franchise,Note
42,Connie Hawkins,Phoenix Suns,F,1969–1973,
44,Paul Westphal,Phoenix Suns,G,1975–1980; 1983–1984,Also served as head coach (1992–1996).
—,Jerry Colangelo,Phoenix Suns,—,1968–2004,"As owner, executive, and head coach (1970; 1972–73)."
—,Cotton Fitzsimmons,Phoenix Suns,—,1970–1972; 1988–1992; 1996,As head coach; inducted in the Suns' Ring of Honor posthumously.
—,John MacLeod,Phoenix Suns,—,1973–1987,As head coach. Also served as assistant head coach in the 1999–2000 NBA season.
—,Joe Proski,Phoenix Suns,—,1968–2000,As athletic trainer.
1,Larry Weinberg,Portland Trail Blazers,—,1970–1988,As team founder and owner; number still available.
13,Dave Twardzik,Portland Trail Blazers,G,1976–1980,
14,Lionel Hollins,Portland Trail Blazers,G,1975–1980,
15,Larry Steele,Portland Trail Blazers,G,1971–1980,
20,Maurice Lucas,Portland Trail Blazers,F,1976–1980; 1987–1988,
22,Clyde Drexler,Portland Trail Blazers,G,1984–1994,
30,Terry Porter,Portland Trail Blazers,G,1985–1995,
30,Bob Gross,Portland Trail Blazers,F,1975–1982,
32,Bill Walton,Portland Trail Blazers,C,1974–1978,
36,Lloyd Neal,Portland Trail Blazers,C,1972–1979,
45,Geoff Petrie,Portland Trail Blazers,G,1970–1976,
77,Jack Ramsay,Portland Trail Blazers,—,1976–1986,As head coach; the number represents the 1977 NBA Championship he won while coaching the Blazers.
1,Nate Archibald,Sacramento Kings,G,1970–1976,"During his career with the team, it was known first as the Cincinnati Royals (1970–1972), then the Kansas City–Omaha Kings (1972–1975), and finally as the Kansas City Kings (1975–1976). He also briefly wore No. 10 at one point."
