Number,Name,Team,Position,Years with franchise,Note
1,Oscar Robertson,Milwaukee Bucks,G,1970–1974,
2,Junior Bridgeman,Milwaukee Bucks,F,1975–1984; 1986–1987,
4,Sidney Moncrief,Milwaukee Bucks,G,1979–1989,
14,Jon McGlocklin,Milwaukee Bucks,G,1968–1976,Also served as broadcaster (1985–present).
16,Bob Lanier,Milwaukee Bucks,C,1980–1984,
32,Brian Winters,Milwaukee Bucks,G,1975–1983,
33,Kareem Abdul-Jabbar,Milwaukee Bucks,C,1969–1975,Served under the name of Lew Alcindor for two seasons before becoming Kareem Abdul-Jabbar.
2,Malik Sealy,Minnesota Timberwolves,F,1998–2000,Died in a car crash while playing for the team. His jersey was retired posthumously.
7,Pete Maravich,New Orleans Pelicans,G,—,Never played for the franchise. He played for the New Orleans Jazz (now the Utah Jazz) from 1974–1979.
13,Bobby Phills,New Orleans Pelicans,G,1997–2000,Died in a car crash while playing for the team; with the team when it was in Charlotte. His jersey was retired posthumously.
10,Walt Frazier,New York Knicks,G,1967–1977,Also served as a broadcaster.
12,Dick Barnett,New York Knicks,G,1965–1974,
15,Earl Monroe,New York Knicks,G,1972–1980,
15,Dick McGuire,New York Knicks,G,1949–1957,Also served as head coach (1965–1968) and scouting director.
18,Phil Jackson,New York Knicks,C,1967–1980,Also served as President (2014–present).
19,Willis Reed,New York Knicks,C,1964–1974,Also served as head coach (1977–1978).
22,Dave DeBusschere,New York Knicks,F,1969–1974,
24,Bill Bradley,New York Knicks,F,1967–1977,
33,Patrick Ewing,New York Knicks,C,1985–2000,
