Number,Name,Team,Position,Years with franchise,Note,Unused_1,Noise_Field_2,Random_Column_3
9,Bob Pettit,Atlanta Hawks,F,1954–1965,,,bZZMIZ,743G5g
21,Dominique Wilkins,Atlanta Hawks,F,1983–1994,Currently team vice president and television color analyst.,,PBJQttPT,vXGYvS1
23,Lou Hudson,Atlanta Hawks,F,1966–1977,,,GtaTZI,O1G4KL9J
17,Ted Turner,Atlanta Hawks,—,1977–2001,"As team owner. While the team presented Turner a framed Hawks jersey with No. 17, the banner raised to the rafters carried an old Hawks logo with Turner's name instead of a number.",,iMnyZ,8G6GJl1d
00,Robert Parish,Boston Celtics,C,1980–1994,,,ryuhIdJ,8VnsRj8S
1,Walter A. Brown,Boston Celtics,—,1946–1964,As team founder–owner.,,WMadu,wCelRDH
2,Red Auerbach,Boston Celtics,—,1950–2006,As head coach (1950–1966) and executive (1950–2006).,,xdjjNaw,dl6r3W
3,Dennis Johnson,Boston Celtics,G,1983–1990,,,YCKxg,ws47edJU
6,Bill Russell,Boston Celtics,C,1956–1969,Also served as head coach (1966–1969).,,mFRRcGS,0a1mfA
10,Jo Jo White,Boston Celtics,G,1969–1979,,,FZTGVHO,jqXlRXd
14,Bob Cousy,Boston Celtics,G,1950–1963,,,RecjUY,2LSAI
15,Tom Heinsohn,Boston Celtics,F,1956–1978,Also served as head coach (1969–1978); as broadcaster (1980–present).,,DjzYFzY,Ybs9ikP
16,Satch Sanders,Boston Celtics,F,1960–1973,Also served as head coach (1978).,,yDzcCVk,2VVkMz
17,John Havlicek,Boston Celtics,F,1962–1978,,,HYcaBvqO,T4Xaea
18,Dave Cowens,Boston Celtics,C,1970–1980,Also served as head coach (1978–1979).,,zPedGc,a6TYpA5H
19,Don Nelson,Boston Celtics,F,1965–1976,,,Wgzyc,mqkXHHZ
21,Bill Sharman,Boston Celtics,G,1951–1961,,,susUF,lkF2E
22,Ed Macauley,Boston Celtics,C,1950–1956,,,zAoWBPaS,5Yxdp
23,Frank Ramsey,Boston Celtics,F,1954–1964,,,FbWgY,k2rS1
24,Sam Jones,Boston Celtics,G,1957–1969,,,cSAdp,JIJJ2
