Number,Name,Team,Position,Years with franchise,Note
25,K. C. Jones,Boston Celtics,G,1958–1967; 1983–1988,Also served as head coach (1983–1988).
31,Cedric Maxwell,Boston Celtics,F,1977–1985,Also served as broadcaster (2001–present); briefly wore No. 30 in 1977–78.
32,Kevin McHale,Boston Celtics,F,1980–1993,
33,Larry Bird,Boston Celtics,F,1979–1992,
35,Reggie Lewis,Boston Celtics,G,1987–1993,Died of a heart attack while still playing for the team; number retired posthumously.
LOSCY,Jim Loscutoff,Boston Celtics,F,1955–1964,Wore No. 18 but decided to keep it active; number ultimately retired for Dave Cowens.
Microphone,Johnny Most,Boston Celtics,—,1953–1990,As broadcaster.
3,Dražen Petrović,Brooklyn Nets,G,1990–1993,Died in a car crash while playing for the team; with the team when it was known as the New Jersey Nets. His jersey was retired posthumously.
4,Wendell Ladner,Brooklyn Nets,F,1974–1975,Died in a plane crash; with the team when it was on Long Island as the New York Nets. His jersey was retired posthumously; however no banner is currently raised at the Barclays Center.
5,Jason Kidd,Brooklyn Nets,G,2001–2008,The team was then the New Jersey Nets.Also served as head coach (2013–present).
23,John Williamson,Brooklyn Nets,G,1973–1980,"During his first four seasons (1973–1977), the team was on Long Island and known as the New York Nets."
25,Bill Melchionni,Brooklyn Nets,G,1969–1976,The team was then on Long Island as the New York Nets.
32,Julius Erving,Brooklyn Nets,F,1973–1976,The team was then on Long Island as the New York Nets.
52,Buck Williams,Brooklyn Nets,F,1981–1989,The team was then the New Jersey Nets.
4,Jerry Sloan,Chicago Bulls,G,1966–1976,Also served as head coach (1979–1982).
10,Bob Love,Chicago Bulls,F,1968–1976,
18,Phil Jackson,Chicago Bulls,—,1989–1998,As head coach (1988–1998).
23,Michael Jordan,Chicago Bulls,G,1984–1993; 1995–1998,Briefly wore No. 45 in 1995 & 12 for one game in 1991 (due to his jersey stolen).
33,Scottie Pippen,Chicago Bulls,F,1987–1998; 2003–2004,
