Draw,Country,Language,Artist,Song,English translation,Place,Points
01,Spain,Spanish,Serafín Zubiri,"\Todo esto es la música\""""",All this is music,14,37
02,Belgium,French,Morgane,\Nous," on veut des violons\""""",We want violins,20
03,Israel,Hebrew,Dafna Dekel,"\Ze Rak Sport\"" (זה רק ספורט)""",It's just sport,6,85
04,Turkey,Turkish,Aylin Vatankoş,"\Yaz Bitti\""""",Summer is over,19,17
05,Greece,Greek,Cleopatra,"\Olou Tou Kosmou I Elpida\""",,,
"(Όλου του κόσμου η Ελπίδα)""",The whole world's hope,5,94,,,,
06,France,"French, Antillean Creole",Kali,"\Monté la riviè\""""",Go up the river,8,73
07,Sweden,Swedish,Christer Björkman,"\I morgon är en annan dag\""""",Tomorrow is another day,22,9
08,Portugal,Portuguese,Dina,"\Amor d'água fresca\""""",Fresh water love,17,26
09,Cyprus,Greek,Evridiki,"\Teriazoume\"" (Ταιριάζουμε)""",We hit it off,11,57
10,Malta,English,Mary Spiteri,"\Little Child\""""",–,3,123
11,Iceland,Icelandic,Heart 2 Heart,"\Nei eða já\""""",No or yes?,7,80
12,Finland,Finnish,Pave Maijanen,\Yamma," yamma\""""",–,23
