#,Date,Venue,Opponent,Score,Result,Competition,Random_Column_1
1.,1 May 2000,"Rasmee Dhandu Stadium, Malé, Maldives",Maldives,1–1,1–1,2000 MFF Golden Jubilee Tournament,JINjuuIf
2.,25 August 2000,"Ho Chi Minh City, Vietnam",Vietnam,2–1,2–2,2000 HCM Cup,jBiXgZM
3.,28 March 2001,"Colombo, Sri Lanka",Cambodia,1–0,1–0,Friendly,tI4cd
4.,17 May 2001,"Beirut Municipal Stadium, Beirut, Lebanon",Pakistan,3–2,3–3,2002 FIFA World Cup qualification (AFC),4ZaID0
5.,30 May 2001,"Suphachalasai Stadium, Bangkok, Thailand",Pakistan,1–0,3–1,2002 FIFA World Cup qualification (AFC),emJuCR
6.,30 May 2001,"Supachalasai Stadium, Bangkok, Thailand",Pakistan,3–0,3–1,2002 FIFA World Cup qualification (AFC),fHP8zAh
7.,4 April 2002,"Sugathadasa Stadium, Colombo, Sri Lanka",Maldives,1–0,1–0,Friendly,Ia7gdJPD
8.,21 March 2003,"Sugathadasa Stadium, Colombo, Sri Lanka",Timor-Leste,1–1,3–2,2004 AFC Asian Cup qualification,imJ1i
9.,21 March 2003,"Sugathadasa Stadium, Colombo, Sri Lanka",Timor-Leste,3–2,3–2,2004 AFC Asian Cup qualification,SVX4i
10.,3 December 2003,"Sugathadasa Stadium, Colombo, Sri Lanka",Laos,2–0,3–0,2006 FIFA World Cup qualification (AFC),Z2liJM2
11.,2 April 2006,"MA Aziz Stadium, Chittagong, Bangladesh",Brunei,2–0,3–0,2006 AFC Challenge Cup,MusVgF
12.,12 April 2006,"MA Aziz Stadium, Chittagong, Bangladesh",Nepal,1–0,1–1,2006 AFC Challenge Cup,qNwmRKg
13.,24 March 2007,"Sugathadasa Stadium, Colombo, Sri Lanka",Malaysia,1–4,1–4,Friendly,RBJZLKAL
14.,2 April 2008,"Chungshan Stadium, Taipei, Taiwan",Guam,5–1,5–1,2008 AFC Challenge Cup qualification,Cto4RwO
